Application Number	11/841,967
Filing or 371 (c) Date	08-20-2007
Application Type	Utility
Examiner Name	MARCETICH, ADAM M
Group Art Unit	3761
Confirmation Number	2690
Attorney Docket Number	GLAUKO.1C4C10
Class / Subclass	604/008
First Named Inventor	Olav B. Bergheim , Laguna Hills, CA (US)
Customer Number	-
Status	Abandoned -- Failure to Respond to an Office Action
Status Date	09-11-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2008-0045878 A1
Earliest Publication Date	02-21-2008
Patent Number	-
Issue Date of Patent	-
Title of Invention	THERAPEUTIC SHUNT DEVICE AND METHOD FOR TREATING GLAUCOMA
