Date	Transaction Description
04-14-2009	Recordation of Patent Grant Mailed
04-14-2009	Patent Issue Date Used in PTA Calculation
03-25-2009	Issue Notification Mailed
03-17-2009	Dispatch to FDC
03-16-2009	Mail Response to 312 Amendment (PTO-271)
03-13-2009	Response to Amendment under Rule 312
03-10-2009	Application Is Considered Ready for Issue
03-05-2009	Amendment after Notice of Allowance (Rule 312)
03-05-2009	Issue Fee Payment Verified
03-05-2009	Issue Fee Payment Received
01-28-2009	Mail Notice of Allowance
01-25-2009	Notice of Allowance Data Verification Completed
01-05-2009	Case Docketed to Examiner in GAU
08-07-2008	PG-Pub Issue Notification
06-04-2008	IFW TSS Processing by Tech Center Complete
06-04-2008	Case Docketed to Examiner in GAU
05-20-2008	Application Dispatched from OIPE
04-25-2008	Sent to Classification Contractor
04-25-2008	Filing Receipt
04-25-2008	Application Is Now Complete
04-15-2008	Cleared by OIPE CSR
04-03-2008	IFW Scan & PACR Auto Security Review
04-01-2008	Information Disclosure Statement considered
04-01-2008	Reference capture on IDS
04-01-2008	Information Disclosure Statement (IDS) Filed
04-01-2008	Information Disclosure Statement (IDS) Filed
04-01-2008	Initial Exam Team nn
