Date	Transaction Description
08-26-2011	Correspondence Address Change
03-05-2010	Sequence Moved to Public Database
03-02-2010	Recordation of Patent Grant Mailed
02-10-2010	Issue Notification Mailed
03-02-2010	Patent Issue Date Used in PTA Calculation
01-22-2010	Dispatch to FDC
01-20-2010	Application Is Considered Ready for Issue
01-13-2010	Issue Fee Payment Verified
01-13-2010	Issue Fee Payment Received
12-28-2009	Sequence Forwarded to Pubs on Tape
11-30-2009	Mail Notice of Allowance
11-23-2009	Notice of Allowance Data Verification Completed
11-23-2009	Case Docketed to Examiner in GAU
11-12-2009	Document Verification
09-18-2009	Error(s) in CRF Corrected by STIC
09-03-2009	Date Forwarded to Examiner
09-03-2009	Date Forwarded to Examiner
09-01-2009	Request for Continued Examination (RCE)
09-03-2009	Disposal for a RCE / CPA / R129
09-01-2009	Workflow - Request for RCE - Begin
07-23-2009	Mail Final Rejection (PTOL - 326)
07-20-2009	Final Rejection
04-22-2009	Affidavit(s) (Rule 131 or 132) or Exhibit(s) Received
05-08-2009	Date Forwarded to Examiner
04-22-2009	Response after Non-Final Action
01-26-2009	Mail Non-Final Rejection
01-21-2009	Non-Final Rejection
04-09-2008	Information Disclosure Statement considered
04-29-2008	Information Disclosure Statement considered
10-16-2008	Information Disclosure Statement considered
10-16-2008	Information Disclosure Statement (IDS) Filed
11-04-2008	Case Docketed to Examiner in GAU
10-16-2008	Information Disclosure Statement (IDS) Filed
04-29-2008	Miscellaneous Incoming Letter
04-29-2008	Information Disclosure Statement (IDS) Filed
04-09-2008	Preliminary Amendment
04-09-2008	Reference capture on IDS
04-09-2008	Information Disclosure Statement (IDS) Filed
10-16-2008	Information Disclosure Statement (IDS) Filed
08-21-2008	PG-Pub Issue Notification
05-28-2008	Change in Power of Attorney (May Include Associate POA)
05-27-2008	Application Dispatched from OIPE
05-09-2008	Sent to Classification Contractor
05-09-2008	Filing Receipt
05-09-2008	Application Is Now Complete
04-09-2008	CRF Disk Has Been Received by Preexam / Group / PCT
04-29-2008	Information Disclosure Statement (IDS) Filed
04-23-2008	Cleared by L&R (LARS)
04-23-2008	Referred to Level 2 (LARS) by OIPE CSR
04-17-2008	CRF Is Good Technically / Entered into Database
04-12-2008	IFW Scan & PACR Auto Security Review
04-09-2008	Information Disclosure Statement (IDS) Filed
04-09-2008	Initial Exam Team nn
