Filing or 371(c) Date	04-09-2008
Issue Date of Patent	03-02-2010
A Delays	0
B Delays	0
C Delays	0
Overlapping Days Between {A and B} or {A and C}	0
Non-Overlapping USPTO Delays	0
PTO Manual Adjustments	0
Applicant Delays	0
Total PTA Adjustments	0

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
75.5	08-31-2009	PTA 36 Months	0		0
75	03-02-2010	Patent Issue Date Used in PTA Calculation			0
74	01-25-2010	Export to Final Data Capture			0
73	01-22-2010	Dispatch to FDC			0
72	01-20-2010	Application Is Considered Ready for Issue			0
71	01-13-2010	Issue Fee Payment Verified			0
70	01-13-2010	Issue Fee Payment Received			0
69	12-28-2009	Finished Initial Data Capture			0
68	12-28-2009	Sequence Forwarded to Pubs on Tape			0
67	12-15-2009	Export to Initial Data Capture			0
66	11-30-2009	Mail Notice of Allowance			0
65	11-23-2009	Notice of Allowance Data Verification Completed			0
64	11-23-2009	Case Docketed to Examiner in GAU			0
63	11-12-2009	Document Verification			0
62	10-26-2009	Allowability Notice			0
54	09-18-2009	Error(s) in CRF Corrected by STIC			0
53	09-03-2009	Date Forwarded to Examiner			0
52	09-01-2009	Amendment Submitted/Entered with Filing of CPA/RCE			0
51	09-03-2009	Date Forwarded to Examiner			0
50	09-01-2009	Request for Continued Examination (RCE)			0
49	09-03-2009	Disposal for a RCE / CPA / R129			0
48	09-01-2009	Workflow - Request for RCE - Begin			0
47	07-23-2009	Mail Final Rejection (PTOL - 326)			0
46	07-20-2009	Final Rejection			0
45	04-22-2009	Affidavit(s) (Rule 131 or 132) or Exhibit(s) Received			0
44	05-08-2009	Date Forwarded to Examiner			0
43	04-22-2009	Response after Non-Final Action			0
42	01-26-2009	Mail Non-Final Rejection			0
41	01-21-2009	Non-Final Rejection			0
29	04-09-2008	Information Disclosure Statement considered			0
28	04-29-2008	Information Disclosure Statement considered			0
27	10-16-2008	Information Disclosure Statement considered			0
26	10-16-2008	Information Disclosure Statement (IDS) Filed			0
25	11-04-2008	Case Docketed to Examiner in GAU			0
24	10-16-2008	Information Disclosure Statement (IDS) Filed			0
23	04-29-2008	Miscellaneous Incoming Letter			0
22	04-29-2008	Information Disclosure Statement (IDS) Filed			0
21	04-09-2008	Preliminary Amendment			0
20	04-09-2008	Reference capture on IDS			0
19	04-09-2008	Information Disclosure Statement (IDS) Filed			0
17	10-16-2008	Information Disclosure Statement (IDS) Filed			0
16	08-21-2008	PG-Pub Issue Notification			0
15	05-28-2008	Change in Power of Attorney (May Include Associate POA)			0
14	05-27-2008	Application Dispatched from OIPE			0
13	05-09-2008	Sent to Classification Contractor			0
12	05-09-2008	Filing Receipt			0
11	05-09-2008	Application Is Now Complete			0
10	04-09-2008	CRF Disk Has Been Received by Preexam / Group / PCT			0
8	04-29-2008	Information Disclosure Statement (IDS) Filed			0
7	04-23-2008	Cleared by L&R (LARS)			0
6	04-23-2008	Referred to Level 2 (LARS) by OIPE CSR			0
5	04-17-2008	CRF Is Good Technically / Entered into Database			0
3	04-12-2008	IFW Scan & PACR Auto Security Review			0
2	04-09-2008	Information Disclosure Statement (IDS) Filed			0
1	04-09-2008	Initial Exam Team nn			0
