Application Number	12/100,088
Filing or 371 (c) Date	04-09-2008
Application Type	Utility
Examiner Name	HAMUD, FOZIA M
Group Art Unit	1647
Confirmation Number	5423
Attorney Docket Number	DX0724XK1D
Class / Subclass	424/143.100
First Named Inventor	Gerard T. Hardiman , San Diego, CA (US)
Customer Number	-
Status	Patented Case
Status Date	02-10-2010
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2008-0199477 A1
Earliest Publication Date	08-21-2008
Patent Number	7,670,603
Issue Date of Patent	03-02-2010
Title of Invention	HUMAN DNAX TOLL-LIKE RECEPTOR 4 PROTEINS, RELATED REAGENTS AND METHODS
