Date	Transaction Description
09-15-2009	Email Notification
09-15-2009	Mail Abandonment for Failure to Respond to Office Action
09-11-2009	Aband. for Failure to Respond to O. A.
01-29-2009	Electronic Review
01-28-2009	Email Notification
01-28-2009	Mail Non-Final Rejection
01-21-2009	Non-Final Rejection
09-18-2008	Case Docketed to Examiner in GAU
02-22-2008	Email Notification
02-21-2008	PG-Pub Issue Notification
12-24-2007	IFW TSS Processing by Tech Center Complete
11-19-2007	Application Dispatched from OIPE
09-07-2007	Sent to Classification Contractor
09-07-2007	Application Is Now Complete
08-29-2007	Cleared by L&R (LARS)
08-22-2007	Referred to Level 2 (LARS) by OIPE CSR
08-21-2007	IFW Scan & PACR Auto Security Review
08-20-2007	Initial Exam Team nn
