Mail Room Date	Document Code	Document Description	Document Category	Page Count	Filename
10-08-2014	ISSUE.NTF	Issue Notification	PROSECUTION	1	12912488-2014-10-08-00001-ISSUE.NTF.pdf
09-29-2014	1449	List of References cited by applicant and considered by examiner	PRIOR ART	1	12912488-2014-09-29-00001-1449.pdf
09-23-2014	IFEE	Issue Fee Payment (PTO-85B)	PROSECUTION	1	12912488-2014-09-23-00003-IFEE.pdf
09-23-2014	WFEE	Fee Worksheet (SB06)	PROSECUTION	2	12912488-2014-09-23-00002-WFEE.pdf
09-23-2014	N417	EFS Acknowledgment Receipt	PROSECUTION	2	12912488-2014-09-23-00001-N417.pdf
06-26-2014	NOA	Notice of Allowance and Fees Due (PTOL-85)	PROSECUTION	7	12912488-2014-06-26-00005-NOA.pdf
06-26-2014	SRFW	Search information including classification, databases and other search related notes	PROSECUTION	2	12912488-2014-06-26-00004-SRFW.pdf
06-26-2014	ANE.I	Amendment After Final or under 37CFR 1.312, initialed by the examiner.	PROSECUTION	1	12912488-2014-06-26-00003-ANE.I.pdf
06-26-2014	SRNT	Examiner's search strategy and results	PROSECUTION	1	12912488-2014-06-26-00002-SRNT.pdf
06-26-2014	IIFW	Issue Information including classification, examiner, name, claim, renumbering, etc.	PROSECUTION	3	12912488-2014-06-26-00001-IIFW.pdf
06-17-2014	A.NE	Response After Final Action	PROSECUTION	1	12912488-2014-06-17-00005-A.NE.pdf
06-17-2014	CLM	Claims	PROSECUTION	10	12912488-2014-06-17-00004-CLM.pdf
06-17-2014	REM	Applicant Arguments/Remarks Made in an Amendment	PROSECUTION	2	12912488-2014-06-17-00003-REM.pdf
06-17-2014	N417	EFS Acknowledgment Receipt	PROSECUTION	2	12912488-2014-06-17-00002-N417.pdf
06-17-2014	WFEE	Fee Worksheet (SB06)	PROSECUTION	1	12912488-2014-06-17-00001-WFEE.pdf
04-18-2014	CTFR	Final Rejection	PROSECUTION	10	12912488-2014-04-18-00003-CTFR.pdf
04-18-2014	SRFW	Search information including classification, databases and other search related notes	PROSECUTION	2	12912488-2014-04-18-00002-SRFW.pdf
04-18-2014	FWCLM	Index of Claims	PROSECUTION	1	12912488-2014-04-18-00001-FWCLM.pdf
