Filing or 371(c) Date	09-26-2006
Issue Date of Patent	11-03-2009
A Delays	417
B Delays	38
C Delays	0
Overlapping Days Between {A and B} or {A and C}	0
Non-Overlapping USPTO Delays	455
PTO Manual Adjustments	0
Applicant Delays	0
Total PTA Adjustments	455

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
42	04-17-2010	Petition Decision - Granted			0
41	02-23-2010	Petition Entered			0
40	11-03-2009	Recordation of Patent Grant Mailed			0
39	10-14-2009	Issue Notification Mailed			0
38.5	11-03-2009	PTA 36 Months	38		0
38	11-03-2009	Patent Issue Date Used in PTA Calculation			0
37	10-02-2009	Export to Final Data Capture			0
36	10-01-2009	Dispatch to FDC			0
35	09-30-2009	Application Is Considered Ready for Issue			0
34	09-23-2009	Issue Fee Payment Verified			0
33	09-23-2009	Issue Fee Payment Received			0
32	08-04-2009	Finished Initial Data Capture			0
31	07-10-2009	Export to Initial Data Capture			0
30	07-06-2009	Mail Notice of Allowance			0
29	07-02-2009	Issue Revision Completed			0
28	07-02-2009	Document Verification			0
27	07-02-2009	Notice of Allowance Data Verification Completed			0
26	07-01-2009	Allowability Notice			0
21	04-23-2009	Date Forwarded to Examiner			0
20	03-13-2009	Response after Ex Parte Quayle Action			0
19	03-13-2009	New or Additional Drawing Filed			0
18	01-16-2009	Mail Ex Parte Quayle Action (PTOL - 326)	417		-1
17	01-15-2009	Quayle action			0
16	09-26-2006	Information Disclosure Statement considered			0
15	08-08-2008	Case Docketed to Examiner in GAU			0
14	06-21-2007	PG-Pub Issue Notification			0
13	06-06-2007	Case Docketed to Examiner in GAU			0
12	04-25-2007	IFW TSS Processing by Tech Center Complete			0
11	09-26-2006	Request for Foreign Priority (Priority Papers May Be Included)			0
10	09-26-2006	Reference capture on IDS			0
9.7	09-26-2006	Information Disclosure Statement (IDS) Filed			0
9	09-26-2006	Information Disclosure Statement (IDS) Filed			0
8	04-17-2007	Application Dispatched from OIPE			0
7	03-16-2007	Sent to Classification Contractor			0
6	03-19-2007	Application Is Now Complete			0
3	10-02-2006	Cleared by OIPE CSR			0
2	09-29-2006	IFW Scan & PACR Auto Security Review			0
1	09-26-2006	Initial Exam Team nn			0
