Date	Transaction Description
10-28-2014	Patent Issue Date Used in PTA Calculation
10-09-2014	Email Notification
10-08-2014	Issue Notification Mailed
09-25-2014	Dispatch to FDC
09-24-2014	Application Is Considered Ready for Issue
09-23-2014	Issue Fee Payment Verified
09-23-2014	Issue Fee Payment Received
06-26-2014	Electronic Review
06-26-2014	Email Notification
06-26-2014	Mail Notice of Allowance
06-23-2014	Document Verification
06-19-2014	Reasons for Allowance
06-18-2014	Date Forwarded to Examiner
06-17-2014	Response after Final Action
04-18-2014	Electronic Review
04-18-2014	Email Notification
04-18-2014	Mail Final Rejection (PTOL - 326)
04-14-2014	Final Rejection
04-11-2014	Date Forwarded to Examiner
04-09-2014	Response after Non-Final Action
04-02-2014	Email Notification
04-02-2014	Change in Power of Attorney (May Include Associate POA)
03-27-2014	Correspondence Address Change
01-22-2014	Electronic Review
01-22-2014	Email Notification
01-22-2014	Mail Non-Final Rejection
01-14-2014	Non-Final Rejection
10-24-2013	Date Forwarded to Examiner
10-24-2013	Disposal for a RCE / CPA / R129
10-18-2013	Request for Continued Examination (RCE)
10-18-2013	Workflow - Request for RCE - Begin
07-19-2013	Electronic Review
07-19-2013	Email Notification
07-19-2013	Mail Final Rejection (PTOL - 326)
07-15-2013	Final Rejection
07-14-2013	Date Forwarded to Examiner
07-11-2013	Response after Non-Final Action
04-11-2013	Electronic Review
04-11-2013	Email Notification
04-11-2013	Mail Non-Final Rejection
04-03-2013	Non-Final Rejection
06-22-2012	Date Forwarded to Examiner
06-22-2012	Disposal for a RCE / CPA / R129
06-20-2012	Request for Continued Examination (RCE)
06-20-2012	Workflow - Request for RCE - Begin
03-23-2012	Electronic Review
03-23-2012	Email Notification
03-23-2012	Mail Notice of Allowance
03-21-2012	Document Verification
03-21-2012	Notice of Allowance Data Verification Completed
03-20-2012	PARALEGAL OR ELECTRONIC TERMINAL DISCLAIMER APPROVED
03-20-2012	Date Forwarded to Examiner
03-15-2012	Terminal Disclaimer Filed
03-15-2012	Response after Non-Final Action
02-29-2012	Information Disclosure Statement considered
02-29-2012	Information Disclosure Statement (IDS) Filed
02-29-2012	Information Disclosure Statement (IDS) Filed
12-15-2011	Electronic Review
12-15-2011	Email Notification
12-15-2011	Mail Non-Final Rejection
12-03-2011	Non-Final Rejection
02-28-2011	Information Disclosure Statement considered
02-28-2011	Reference capture on IDS
02-28-2011	Information Disclosure Statement (IDS) Filed
02-28-2011	Information Disclosure Statement (IDS) Filed
02-18-2011	Email Notification
02-17-2011	PG-Pub Issue Notification
01-09-2011	Case Docketed to Examiner in GAU
12-01-2010	Application Dispatched from OIPE
11-09-2010	Application Is Now Complete
11-09-2010	Email Notification
11-09-2010	Filing Receipt
11-08-2010	Sent to Classification Contractor
10-28-2010	Cleared by OIPE CSR
10-26-2010	IFW Scan & PACR Auto Security Review
10-26-2010	Initial Exam Team nn
