Application Number	12/912,488
Filing or 371 (c) Date	10-26-2010
Application Type	Utility
Examiner Name	D AGOSTA, STEPHEN M
Group Art Unit	2643
Confirmation Number	2152
Attorney Docket Number	035380.00007
Class / Subclass	455/414.100
First Named Inventor	Thomas F. Doyle , San Diego, CA (US)
Entity Status	Undiscounted
Customer Number	-
Status	Patented Case
Status Date	10-08-2014
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2011-0039525 A1
Earliest Publication Date	02-17-2011
Patent Number	8,874,088
Issue Date of Patent	10-28-2014
AIA (First Inventor to File)	No
Title of Invention	METHOD AND APPARATUS TO INDICATE COMMUNICATION IS WANTED OR WAITING
