Application Number	11/959,953
Filing or 371 (c) Date	12-19-2007
Application Type	Utility
Examiner Name	HINDI, NABIL Z
Group Art Unit	2627
Confirmation Number	3648
Attorney Docket Number	1293.1267C3C1C19
Class / Subclass	369/047.100
First Named Inventor	Kyung-geun LEE , Gyeonggi-do, (KR)
Customer Number	-
Status	Abandoned -- Failure to Pay Issue Fee
Status Date	05-07-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2008-0095010 A1
Earliest Publication Date	04-24-2008
Patent Number	-
Issue Date of Patent	-
Title of Invention	OPTICAL DISC HAVING UNIFORM STRUCTURE
