Date	Transaction Description
10-02-2009	Mail Abandonment for Failure to Respond to Office Action
10-01-2009	Aband. for Failure to Respond to O. A.
01-29-2009	Mail Non-Final Rejection
01-28-2009	Non-Final Rejection
03-06-2007	Information Disclosure Statement considered
10-03-2006	Information Disclosure Statement considered
08-24-2006	Information Disclosure Statement considered
01-17-2009	Date Forwarded to Examiner
12-10-2008	Response to Election / Restriction Filed
11-10-2008	Mail Restriction Requirement
10-16-2008	Case Docketed to Examiner in GAU
10-14-2008	Restriction/Election Requirement
10-05-2008	Case Docketed to Examiner in GAU
09-18-2008	PG-Pub Issue Notification
07-25-2008	IFW TSS Processing by Tech Center Complete
03-06-2007	Reference capture on IDS
03-06-2007	Information Disclosure Statement (IDS) Filed
10-03-2006	Information Disclosure Statement (IDS) Filed
08-24-2006	Request for Foreign Priority (Priority Papers May Be Included)
08-24-2006	Information Disclosure Statement (IDS) Filed
08-24-2006	Preliminary Amendment
03-06-2007	Information Disclosure Statement (IDS) Filed
10-03-2006	Information Disclosure Statement (IDS) Filed
08-24-2006	Information Disclosure Statement (IDS) Filed
06-18-2008	Application Dispatched from OIPE
11-27-2006	371 Completion Date
06-10-2008	Sent to Classification Contractor
06-10-2008	Filing Receipt
06-10-2008	Notice of DO/EO Acceptance Mailed
09-19-2006	Cleared by OIPE CSR
08-24-2006	Initial Exam Team nn
