Date	Transaction Description
12-07-2010	Recordation of Patent Grant Mailed
11-17-2010	Issue Notification Mailed
12-07-2010	Patent Issue Date Used in PTA Calculation
10-29-2010	Dispatch to FDC
10-29-2010	Application Is Considered Ready for Issue
10-28-2010	Issue Fee Payment Verified
10-28-2010	Issue Fee Payment Received
08-06-2010	Mail Examiner's Amendment
08-06-2010	Mail Notice of Allowance
08-05-2010	Notice of Allowance Data Verification Completed
07-29-2010	Examiner Interview Summary Record (PTOL - 413)
08-05-2010	Examiner's Amendment Communication
08-05-2010	Document Verification
04-02-2010	Information Disclosure Statement considered
04-02-2010	Reference capture on IDS
04-02-2010	Information Disclosure Statement (IDS) Filed
04-02-2010	Information Disclosure Statement (IDS) Filed
03-07-2010	Date Forwarded to Examiner
02-27-2010	Request for Continued Examination (RCE)
03-07-2010	Disposal for a RCE / CPA / R129
02-27-2010	Request for Extension of Time - Granted
02-27-2010	Workflow - Request for RCE - Begin
12-31-2009	Mail Advisory Action (PTOL - 303)
12-29-2009	Advisory Action (PTOL-303)
11-06-2009	Date Forwarded to Examiner
11-04-2009	Amendment after Final Rejection
09-04-2009	Mail Final Rejection (PTOL - 326)
08-31-2009	Final Rejection
06-29-2009	Date Forwarded to Examiner
05-26-2009	Response after Non-Final Action
05-26-2009	Request for Extension of Time - Granted
05-28-2009	Correspondence Address Change
01-26-2009	Mail Non-Final Rejection
01-21-2009	Non-Final Rejection
09-11-2007	Information Disclosure Statement considered
12-19-2008	Case Docketed to Examiner in GAU
12-19-2008	Case Docketed to Examiner in GAU
05-15-2008	Transfer Inquiry to GAU
04-07-2008	Transfer Inquiry to GAU
09-11-2007	Reference capture on IDS
09-11-2007	Information Disclosure Statement (IDS) Filed
04-04-2008	Transfer Inquiry to GAU
02-17-2008	IFW TSS Processing by Tech Center Complete
12-26-2007	Application Dispatched from OIPE
09-21-2007	Sent to Classification Contractor
09-21-2007	Application Is Now Complete
09-11-2007	PGPubs nonPub Request
09-13-2007	Cleared by L&R (LARS)
09-12-2007	Referred to Level 2 (LARS) by OIPE CSR
09-11-2007	Information Disclosure Statement (IDS) Filed
09-11-2007	IFW Scan & PACR Auto Security Review
09-11-2007	Initial Exam Team nn
