Date	Transaction Description
12-08-2009	Recordation of Patent Grant Mailed
11-18-2009	Issue Notification Mailed
12-08-2009	Patent Issue Date Used in PTA Calculation
11-02-2009	Dispatch to FDC
11-02-2009	Application Is Considered Ready for Issue
10-28-2009	Issue Fee Payment Verified
10-28-2009	Issue Fee Payment Received
09-29-2009	Mail Miscellaneous Communication to Applicant
09-28-2009	Miscellaneous Communication to Applicant - No Action Count
09-14-2009	Information Disclosure Statement considered
09-14-2009	Reference capture on IDS
09-14-2009	Information Disclosure Statement (IDS) Filed
09-14-2009	Information Disclosure Statement (IDS) Filed
08-27-2009	Mail Notice of Allowance
08-19-2009	Document Verification
08-19-2009	Notice of Allowance Data Verification Completed
06-26-2009	Date Forwarded to Examiner
05-29-2009	Response after Non-Final Action
05-29-2009	Request for Extension of Time - Granted
01-22-2009	Mail Non-Final Rejection
01-21-2009	Non-Final Rejection
06-29-2007	Information Disclosure Statement considered
01-12-2009	Case Docketed to Examiner in GAU
11-19-2008	Transfer Inquiry to GAU
11-18-2008	Date Forwarded to Examiner
11-13-2008	Response to Election / Restriction Filed
10-15-2008	Mail Restriction Requirement
10-13-2008	Restriction/Election Requirement
01-14-2008	Miscellaneous Incoming Letter
01-09-2008	Correspondence Address Change
10-17-2007	Withdraw Flagged for 5/25
10-16-2007	Flagged for 5/25
06-29-2007	Request for Foreign Priority (Priority Papers May Be Included)
06-29-2007	Electronic Information Disclosure Statement
06-29-2007	Information Disclosure Statement (IDS) Filed
06-14-2007	PG-Pub Issue Notification
03-22-2007	Case Docketed to Examiner in GAU
01-11-2007	New or Additional Drawing Filed
01-26-2007	IFW TSS Processing by Tech Center Complete
01-03-2007	Application Dispatched from OIPE
01-04-2007	Application Is Now Complete
12-19-2006	Cleared by OIPE CSR
12-15-2006	IFW Scan & PACR Auto Security Review
12-11-2006	Initial Exam Team nn
