Filing or 371(c) Date	12-11-2006
Issue Date of Patent	12-08-2009
A Delays	247
B Delays	0
C Delays	0
Overlapping Days Between {A and B} or {A and C}	0
Non-Overlapping USPTO Delays	247
PTO Manual Adjustments	0
Applicant Delays	53
Total PTA Adjustments	194

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
58	12-08-2009	Patent Issue Date Used in PTA Calculation			0
57	11-03-2009	Export to Final Data Capture			0
56	11-02-2009	Dispatch to FDC			0
55	11-02-2009	Application Is Considered Ready for Issue			0
54	10-28-2009	Issue Fee Payment Verified			0
53	10-28-2009	Issue Fee Payment Received			0
52	09-29-2009	Mail Miscellaneous Communication to Applicant			0
51	09-28-2009	Miscellaneous Communication to Applicant - No Action Count			0
50	09-23-2009	Finished Initial Data Capture			0
49	09-14-2009	Information Disclosure Statement considered			0
48	09-14-2009	Reference capture on IDS			0
47	09-14-2009	Information Disclosure Statement (IDS) Filed		16	52
46	09-14-2009	Information Disclosure Statement (IDS) Filed			0
45	08-31-2009	Export to Initial Data Capture			0
44	08-27-2009	Mail Notice of Allowance			0
43	08-19-2009	Issue Revision Completed			0
42	08-19-2009	Document Verification			0
41	08-19-2009	Notice of Allowance Data Verification Completed			0
40	08-14-2009	Allowability Notice			0
39	06-26-2009	Date Forwarded to Examiner			0
38	05-29-2009	Response after Non-Final Action		37	36
37	05-29-2009	Request for Extension of Time - Granted			0
36	01-22-2009	Mail Non-Final Rejection			0
35	01-21-2009	Non-Final Rejection			0
34	06-29-2007	Information Disclosure Statement considered			0
26	01-12-2009	Case Docketed to Examiner in GAU			0
25	11-19-2008	Transfer Inquiry to GAU			0
24	11-18-2008	Date Forwarded to Examiner			0
23	11-13-2008	Response to Election / Restriction Filed			0
22	10-15-2008	Mail Restriction Requirement	247		-1
21	10-13-2008	Restriction/Election Requirement			0
17	01-14-2008	Miscellaneous Incoming Letter			0
16	01-09-2008	Correspondence Address Change			0
15	10-17-2007	Withdraw Flagged for 5/25			0
14	10-16-2007	Flagged for 5/25			0
13	06-29-2007	Request for Foreign Priority (Priority Papers May Be Included)			0
12	06-29-2007	Electronic Information Disclosure Statement			0
11	06-29-2007	Information Disclosure Statement (IDS) Filed			0
10	06-14-2007	PG-Pub Issue Notification			0
9	03-22-2007	Case Docketed to Examiner in GAU			0
8	01-11-2007	New or Additional Drawing Filed			0
7	01-26-2007	IFW TSS Processing by Tech Center Complete			0
6	01-03-2007	Application Dispatched from OIPE			0
5	01-04-2007	Application Is Now Complete			0
3	12-19-2006	Cleared by OIPE CSR			0
2	12-15-2006	IFW Scan & PACR Auto Security Review			0
1	12-11-2006	Initial Exam Team nn			0
