Application Number	11/636,877
Filing or 371 (c) Date	12-11-2006
Application Type	Utility
Examiner Name	MCNALLY, DANIEL
Group Art Unit	1791
Confirmation Number	9432
Attorney Docket Number	2005P22560US01;60427-640
Class / Subclass	156/272.800
First Named Inventor	Paul D. Daly , Troy, MI (US)
Customer Number	-
Status	Patented Case
Status Date	11-18-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2007-0131401 A1
Earliest Publication Date	06-14-2007
Patent Number	7,628,883
Issue Date of Patent	12-08-2009
Title of Invention	LASER WELDED PLASTIC INTERCOOLER
