Filing or 371(c) Date	12-22-2005
Issue Date of Patent	10-27-2009
A Delays	568
B Delays	0
C Delays	0
Overlapping Days Between {A and B} or {A and C}	0
Non-Overlapping USPTO Delays	568
PTO Manual Adjustments	0
Applicant Delays	0
Total PTA Adjustments	568

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
67.5	10-07-2009	PTA 36 Months	0		0
67	10-27-2009	Patent Issue Date Used in PTA Calculation			0
66	10-02-2009	Export to Final Data Capture			0
65	10-01-2009	Finished Initial Data Capture			0
64	10-01-2009	Dispatch to FDC			0
63	09-29-2009	Application Is Considered Ready for Issue			0
62	09-17-2009	Issue Fee Payment Verified			0
61	09-28-2009	Workflow - Query Request - Finish			0
60	09-25-2009	Printer Rush- No mailing			0
59	09-25-2009	Mail Miscellaneous Communication to Applicant			0
58	09-17-2009	Issue Fee Payment Received			0
57	09-15-2009	Printer Rush- No mailing			0
56	09-15-2009	Miscellaneous Communication to Applicant - No Action Count			0
55	08-31-2009	Pubs Case Remand to TC			0
54	09-02-2009	Workflow - Query Request - Begin			0
53	08-26-2009	Workflow - Query Request - Finish			0
52	08-21-2009	Printer Rush- No mailing			0
51	07-23-2009	Pubs Case Remand to TC			0
50	07-29-2009	Workflow - Query Request - Begin			0
49	07-20-2009	Workflow - Query Request - Finish			0
48	07-16-2009	Printer Rush- No mailing			0
47	07-07-2009	Pubs Case Remand to TC			0
46	07-10-2009	Workflow - Query Request - Begin			0
45	06-22-2009	Export to Initial Data Capture			0
44	06-17-2009	Mail Notice of Allowance			0
43	06-16-2009	Issue Revision Completed			0
42	06-16-2009	Document Verification			0
41	06-16-2009	Notice of Allowance Data Verification Completed			0
40	06-16-2009	Allowability Notice			0
36	04-27-2009	Information Disclosure Statement considered			0
35	04-27-2009	Electronic Information Disclosure Statement		0	33
34	05-13-2009	Date Forwarded to Examiner			0
33	04-27-2009	Response after Non-Final Action			0
32	04-27-2009	Information Disclosure Statement (IDS) Filed			0
31	01-27-2009	Mail Non-Final Rejection			0
30	01-16-2009	Non-Final Rejection			0
29	08-14-2006	Information Disclosure Statement considered			0
28	04-03-2006	Information Disclosure Statement considered			0
27	11-12-2008	Date Forwarded to Examiner			0
26	10-17-2008	Response to Election / Restriction Filed			0
25	09-12-2008	Mail Restriction Requirement	568		-1
24	09-11-2008	Restriction/Election Requirement			0
22.7	08-14-2006	Information Disclosure Statement (IDS) Filed			0
22	08-14-2006	Information Disclosure Statement (IDS) Filed			0
21	06-30-2006	Receipt of all Acknowledgement Letters			0
20	06-30-2006	Receipt of Acknowledgment Letter			0
19	06-30-2006	Receipt of Acknowledgment Letter			0
18	05-10-2006	IFW TSS Processing by Tech Center Complete			0
17	03-23-2006	Request for Foreign Priority (Priority Papers May Be Included)			0
16	05-10-2006	Case Docketed to Examiner in GAU			0
15	04-03-2006	Reference capture on IDS			0
14.7	04-03-2006	Information Disclosure Statement (IDS) Filed			0
14	04-03-2006	Information Disclosure Statement (IDS) Filed			0
13	04-06-2006	Application Dispatched from OIPE			0
12	04-06-2006	Application Is Now Complete			0
11	03-23-2006	Additional Application Filing Fees			0
10	03-23-2006	A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic			0
9	02-10-2006	Agency Referral Letter Mailed			0
8	02-10-2006	Agency Referral Letter Mailed			0
7	02-09-2006	Referred by L&R for Third-Level Security Review. Agency Referral Letter Generated			0
6	02-09-2006	Referred by L&R for Third-Level Security Review. Agency Referral Letter Generated			0
5	01-31-2006	Notice Mailed--Application Incomplete--Filing Date Assigned			0
4	01-31-2006	Auto Referred by PALM Pre Exam			0
3	01-15-2006	Cleared by OIPE CSR			0
2	01-06-2006	IFW Scan & PACR Auto Security Review			0
1	12-22-2005	Initial Exam Team nn			0
