Date	Transaction Description
10-27-2009	Recordation of Patent Grant Mailed
10-07-2009	Issue Notification Mailed
10-27-2009	Patent Issue Date Used in PTA Calculation
10-01-2009	Dispatch to FDC
09-29-2009	Application Is Considered Ready for Issue
09-17-2009	Issue Fee Payment Verified
09-25-2009	Printer Rush- No mailing
09-25-2009	Mail Miscellaneous Communication to Applicant
09-17-2009	Issue Fee Payment Received
09-15-2009	Printer Rush- No mailing
09-15-2009	Miscellaneous Communication to Applicant - No Action Count
08-31-2009	Pubs Case Remand to TC
08-21-2009	Printer Rush- No mailing
07-23-2009	Pubs Case Remand to TC
07-16-2009	Printer Rush- No mailing
07-07-2009	Pubs Case Remand to TC
06-17-2009	Mail Notice of Allowance
06-16-2009	Document Verification
06-16-2009	Notice of Allowance Data Verification Completed
04-27-2009	Information Disclosure Statement considered
04-27-2009	Electronic Information Disclosure Statement
05-13-2009	Date Forwarded to Examiner
04-27-2009	Response after Non-Final Action
04-27-2009	Information Disclosure Statement (IDS) Filed
01-27-2009	Mail Non-Final Rejection
01-16-2009	Non-Final Rejection
08-14-2006	Information Disclosure Statement considered
04-03-2006	Information Disclosure Statement considered
11-12-2008	Date Forwarded to Examiner
10-17-2008	Response to Election / Restriction Filed
09-12-2008	Mail Restriction Requirement
09-11-2008	Restriction/Election Requirement
08-14-2006	Information Disclosure Statement (IDS) Filed
08-14-2006	Information Disclosure Statement (IDS) Filed
06-30-2006	Receipt of all Acknowledgement Letters
06-30-2006	Receipt of Acknowledgment Letter
06-30-2006	Receipt of Acknowledgment Letter
05-10-2006	IFW TSS Processing by Tech Center Complete
03-23-2006	Request for Foreign Priority (Priority Papers May Be Included)
05-10-2006	Case Docketed to Examiner in GAU
04-03-2006	Reference capture on IDS
04-03-2006	Information Disclosure Statement (IDS) Filed
04-03-2006	Information Disclosure Statement (IDS) Filed
04-06-2006	Application Dispatched from OIPE
04-06-2006	Application Is Now Complete
03-23-2006	Additional Application Filing Fees
03-23-2006	A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic
02-10-2006	Agency Referral Letter Mailed
02-10-2006	Agency Referral Letter Mailed
02-09-2006	Referred by L&R for Third-Level Security Review. Agency Referral Letter Generated
02-09-2006	Referred by L&R for Third-Level Security Review. Agency Referral Letter Generated
01-31-2006	Notice Mailed--Application Incomplete--Filing Date Assigned
01-31-2006	Auto Referred by PALM Pre Exam
01-15-2006	Cleared by OIPE CSR
01-06-2006	IFW Scan & PACR Auto Security Review
12-22-2005	Initial Exam Team nn
