Mail Room Date	Document Code	Document Description	Document Category	Page Count	Filename
04-21-2010	PETDEC	Petition Decision	PROSECUTION	1	12001255-2010-04-21-00001-PETDEC.pdf
03-08-2010	PET.PTA.RCAL	Request for PTA recalculation in view of Wyeth	PROSECUTION	1	12001255-2010-03-08-00001-PET.PTA.RCAL.pdf
10-07-2009	ISSUE.NTF	Issue Notification	PROSECUTION	1	12001255-2009-10-07-00001-ISSUE.NTF.pdf
09-17-2009	IFEE	Issue Fee Payment (PTO-85B)	PROSECUTION	1	12001255-2009-09-17-00002-IFEE.pdf
09-17-2009	TRAN.LET	Transmittal Letter	PROSECUTION	1	12001255-2009-09-17-00001-TRAN.LET.pdf
08-13-2009	1449	List of References cited by applicant and considered by examiner	PRIOR ART	1	12001255-2009-08-13-00001-1449.pdf
07-16-2009	NOA	Notice of Allowance and Fees Due (PTOL-85)	PROSECUTION	4	12001255-2009-07-16-00004-NOA.pdf
07-16-2009	SRFW	Search information including classification, databases and other search related notes	PROSECUTION	1	12001255-2009-07-16-00003-SRFW.pdf
07-16-2009	IIFW	Issue Information including classification, examiner, name, claim, renumbering, etc.	PROSECUTION	2	12001255-2009-07-16-00002-IIFW.pdf
07-16-2009	SRNT	Examiner's search strategy and results	PROSECUTION	1	12001255-2009-07-16-00001-SRNT.pdf
04-08-2009	A...	Amendment/Req. Reconsideration-After Non-Final Reject	PROSECUTION	1	12001255-2009-04-08-00007-A....pdf
04-08-2009	ABST	Abstract	PROSECUTION	1	12001255-2009-04-08-00006-ABST.pdf
04-08-2009	ABST	Abstract	PROSECUTION	1	12001255-2009-04-08-00005-ABST.pdf
04-08-2009	CLM	Claims	PROSECUTION	4	12001255-2009-04-08-00004-CLM.pdf
04-08-2009	REM	Applicant Arguments/Remarks Made in an Amendment	PROSECUTION	2	12001255-2009-04-08-00003-REM.pdf
04-08-2009	N417	EFS Acknowledgment Receipt	PROSECUTION	2	12001255-2009-04-08-00002-N417.pdf
04-08-2009	WFEE	Fee Worksheet (SB06)	PROSECUTION	1	12001255-2009-04-08-00001-WFEE.pdf
01-08-2009	CTNF	Non-Final Rejection	PROSECUTION	6	12001255-2009-01-08-00007-CTNF.pdf
01-08-2009	892	List of references cited by examiner	PRIOR ART	1	12001255-2009-01-08-00006-892.pdf
01-08-2009	SRFW	Search information including classification, databases and other search related notes	PROSECUTION	1	12001255-2009-01-08-00005-SRFW.pdf
01-08-2009	FWCLM	Index of Claims	PROSECUTION	1	12001255-2009-01-08-00004-FWCLM.pdf
01-08-2009	BIB	Bibliographic Data Sheet	PROSECUTION	1	12001255-2009-01-08-00003-BIB.pdf
01-08-2009	SRNT	Examiner's search strategy and results	PROSECUTION	9	12001255-2009-01-08-00002-SRNT.pdf
01-08-2009	1449	List of References cited by applicant and considered by examiner	PRIOR ART	1	12001255-2009-01-08-00001-1449.pdf
09-18-2008	NTC.PUB	Notice of Publication	PROSECUTION	1	12001255-2008-09-18-00001-NTC.PUB.pdf
08-06-2008	TRAN.LET	Transmittal Letter	PROSECUTION	2	12001255-2008-08-06-00004-TRAN.LET.pdf
08-06-2008	IDS	Information Disclosure Statement (IDS) Form (SB08)	PROSECUTION	1	12001255-2008-08-06-00003-IDS.pdf
08-06-2008	FOR	Foreign Reference	PRIOR ART	11	12001255-2008-08-06-00002-FOR.pdf
08-06-2008	NPL	Non Patent Literature	PRIOR ART	2	
06-06-2008	APP.FILE.REC	Filing Receipt	PROSECUTION	3	12001255-2008-06-06-00001-APP.FILE.REC.pdf
05-21-2008	PEFR	Applicant Response to Pre-Exam Formalities Notice	PROSECUTION	4	12001255-2008-05-21-00002-PEFR.pdf
05-21-2008	OATH	Oath or Declaration filed	PROSECUTION	3	12001255-2008-05-21-00001-OATH.pdf
03-27-2008	NTC.MISS.PRT	Notice to File Missing Parts	PROSECUTION	2	12001255-2008-03-27-00002-NTC.MISS.PRT.pdf
03-27-2008	APP.FILE.REC	Filing Receipt	PROSECUTION	3	12001255-2008-03-27-00001-APP.FILE.REC.pdf
12-10-2007	TRNA	Transmittal of New Application	PROSECUTION	3	12001255-2007-12-10-00010-TRNA.pdf
12-10-2007	136A	Authorization for Extension of Time all replies	PROSECUTION	3	12001255-2007-12-10-00009-136A.pdf
12-10-2007	SPEC	Specification	PROSECUTION	14	12001255-2007-12-10-00008-SPEC.pdf
12-10-2007	CLM	Claims	PROSECUTION	3	12001255-2007-12-10-00007-CLM.pdf
12-10-2007	ABST	Abstract	PROSECUTION	1	12001255-2007-12-10-00006-ABST.pdf
12-10-2007	DRW	Drawings-only black and white line drawings	PROSECUTION	7	12001255-2007-12-10-00005-DRW.pdf
12-10-2007	OATH	Oath or Declaration filed	PROSECUTION	3	12001255-2007-12-10-00004-OATH.pdf
12-10-2007	FRPR	Certified Copy of Foreign Priority Application	PROSECUTION	15	12001255-2007-12-10-00003-FRPR.pdf
12-10-2007	WFEE	Fee Worksheet (SB06)	PROSECUTION	1	12001255-2007-12-10-00002-WFEE.pdf
12-10-2007	WFEE	Fee Worksheet (SB06)	PROSECUTION	1	12001255-2007-12-10-00001-WFEE.pdf
