Application Number	10/538,761
Filing or 371 (c) Date	06-10-2005
Application Type	Utility
Examiner Name	MELLON, DAVID C
Group Art Unit	1797
Confirmation Number	6796
Attorney Docket Number	P27982.A01
Class / Subclass	210/645
First Named Inventor	Takahiro Hori , Oita-shi, (JP)
Customer Number	-
Status	Abandoned -- Failure to Respond to an Office Action
Status Date	11-01-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2006-0054557 A1
Earliest Publication Date	03-16-2006
Patent Number	-
Issue Date of Patent	-
Title of Invention	Virus-removing bag and virus-removing method using the same
