Filing or 371(c) Date	12-10-2007
Issue Date of Patent	10-27-2009
A Delays	0
B Delays	0
C Delays	0
Overlapping Days Between {A and B} or {A and C}	0
Non-Overlapping USPTO Delays	0
PTO Manual Adjustments	0
Applicant Delays	0
Total PTA Adjustments	0

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
46	04-17-2010	Petition Decision - Granted			0
45	03-08-2010	Petition Entered			0
43	10-27-2009	Recordation of Patent Grant Mailed			0
42	10-07-2009	Issue Notification Mailed			0
41.5	10-27-2009	PTA 36 Months	0		0
41	10-27-2009	Patent Issue Date Used in PTA Calculation			0
40	09-30-2009	Export to Final Data Capture			0
39	09-29-2009	Dispatch to FDC			0
38	09-29-2009	Application Is Considered Ready for Issue			0
37	09-17-2009	Issue Fee Payment Verified			0
36	09-17-2009	Issue Fee Payment Received			0
35	08-14-2009	Finished Initial Data Capture			0
34	07-20-2009	Export to Initial Data Capture			0
33	07-16-2009	Mail Notice of Allowance			0
32	07-15-2009	Issue Revision Completed			0
31	07-15-2009	Notice of Allowance Data Verification Completed			0
30	07-15-2009	Case Docketed to Examiner in GAU			0
29	07-15-2009	Document Verification			0
28	07-07-2009	Allowability Notice			0
27	04-30-2009	Date Forwarded to Examiner			0
26	04-08-2009	Response after Non-Final Action			0
25	01-08-2009	Mail Non-Final Rejection			0
24	01-05-2009	Non-Final Rejection			0
20	08-06-2008	Information Disclosure Statement considered			0
19	08-06-2008	Reference capture on IDS			0
18	08-06-2008	Information Disclosure Statement (IDS) Filed			0
17	09-21-2008	Case Docketed to Examiner in GAU			0
16	09-18-2008	PG-Pub Issue Notification			0
15	09-12-2008	Case Docketed to Examiner in GAU			0
14	08-06-2008	Information Disclosure Statement (IDS) Filed			0
13	07-24-2008	IFW TSS Processing by Tech Center Complete			0
12	12-10-2007	Request for Foreign Priority (Priority Papers May Be Included)			0
11	06-13-2008	Application Dispatched from OIPE			0
10	06-06-2008	Sent to Classification Contractor			0
9	06-06-2008	Filing Receipt - Updated			0
8	06-06-2008	Application Is Now Complete			0
7	05-21-2008	Additional Application Filing Fees			0
6	05-21-2008	A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic			0
5	03-27-2008	Filing Receipt			0
4	03-27-2008	Notice Mailed--Application Incomplete--Filing Date Assigned			0
3	03-18-2008	Cleared by OIPE CSR			0
2	03-17-2008	IFW Scan & PACR Auto Security Review			0
1	12-12-2007	Initial Exam Team nn			0
