Date	Transaction Description
04-21-2010	Mail-Petition Decision - Granted
04-21-2010	Petition Decision - Granted
03-08-2010	Petition Entered
10-27-2009	Recordation of Patent Grant Mailed
10-27-2009	Patent Issue Date Used in PTA Calculation
10-07-2009	Issue Notification Mailed
09-29-2009	Dispatch to FDC
09-29-2009	Application Is Considered Ready for Issue
09-17-2009	Issue Fee Payment Verified
09-17-2009	Issue Fee Payment Received
07-16-2009	Mail Notice of Allowance
07-15-2009	Notice of Allowance Data Verification Completed
07-15-2009	Case Docketed to Examiner in GAU
07-15-2009	Document Verification
04-30-2009	Date Forwarded to Examiner
04-08-2009	Response after Non-Final Action
01-08-2009	Mail Non-Final Rejection
01-05-2009	Non-Final Rejection
09-21-2008	Case Docketed to Examiner in GAU
09-18-2008	PG-Pub Issue Notification
09-12-2008	Case Docketed to Examiner in GAU
08-06-2008	Information Disclosure Statement considered
08-06-2008	Reference capture on IDS
08-06-2008	Information Disclosure Statement (IDS) Filed
08-06-2008	Information Disclosure Statement (IDS) Filed
07-24-2008	IFW TSS Processing by Tech Center Complete
06-13-2008	Application Dispatched from OIPE
06-06-2008	Sent to Classification Contractor
06-06-2008	Filing Receipt - Updated
06-06-2008	Application Is Now Complete
05-21-2008	Additional Application Filing Fees
05-21-2008	A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic
03-27-2008	Filing Receipt
03-27-2008	Notice Mailed--Application Incomplete--Filing Date Assigned
03-18-2008	Cleared by OIPE CSR
03-17-2008	IFW Scan & PACR Auto Security Review
12-12-2007	Initial Exam Team nn
12-10-2007	Request for Foreign Priority (Priority Papers May Be Included)
