Application Number	12/001,255
Filing or 371 (c) Date	12-10-2007
Application Type	Utility
Examiner Name	CHUKWURAH, NATHANIEL C
Group Art Unit	3721
Confirmation Number	2882
Attorney Docket Number	209,259
Class / Subclass	173/216
First Named Inventor	Jochen Erhardt , Klosterlechfeld, (DE) all Inventors
Entity Status	Undiscounted
Customer Number	-
Status	Patented Case
Status Date	10-07-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2008-0223592 A1
Earliest Publication Date	09-18-2008
Patent Number	7,607,493
Issue Date of Patent	10-27-2009
AIA (First Inventor to File)	No
Title of Invention	HAND-HELD ELECTRIC POWER TOOL
