Application Number	11/120,115
Filing or 371 (c) Date	05-02-2005
Application Type	Utility
Examiner Name	NOGUEROLA, ALEXANDER STEPHAN
Group Art Unit	1795
Confirmation Number	2469
Attorney Docket Number	6056-316CT2 (207359)
Class / Subclass	204/450
First Named Inventor	Antonio M. Goncalves , Elkins Park, PA
Customer Number	-
Status	Abandoned -- Failure to Respond to an Office Action
Status Date	08-17-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2005-0217997 A1
Earliest Publication Date	10-06-2005
Patent Number	-
Issue Date of Patent	-
Title of Invention	Automated system for high-throughput electrophoretic separations
