Date	Transaction Description
01-29-2009	Information Disclosure Statement (IDS) Filed
08-19-2009	Mail Abandonment for Failure to Respond to Office Action
08-17-2009	Aband. for Failure to Respond to O. A.
02-02-2009	Mail Non-Final Rejection
09-29-2008	Information Disclosure Statement (IDS) Filed
01-30-2009	Non-Final Rejection
09-29-2008	Information Disclosure Statement considered
09-29-2008	Information Disclosure Statement (IDS) Filed
09-29-2008	Information Disclosure Statement (IDS) Filed
05-02-2005	Information Disclosure Statement considered
02-04-2008	Miscellaneous Incoming Letter
10-05-2007	Case Docketed to Examiner in GAU
04-19-2006	IFW TSS Processing by Tech Center Complete
04-19-2006	Case Docketed to Examiner in GAU
05-02-2005	Preliminary Amendment
05-02-2005	Reference capture on IDS
05-02-2005	Information Disclosure Statement (IDS) Filed
05-02-2005	Information Disclosure Statement (IDS) Filed
06-27-2005	Application Return from OIPE
06-27-2005	Application Return TO OIPE
06-27-2005	Application Dispatched from OIPE
06-27-2005	Application Is Now Complete
05-17-2005	Cleared by OIPE CSR
05-10-2005	IFW Scan & PACR Auto Security Review
05-02-2005	Initial Exam Team nn
