Mail Room Date	Document Code	Document Description	Document Category	Page Count	Filename
11-07-2012	ISSUE.NTF	Issue Notification	PROSECUTION	1	12806661-2012-11-07-00001-ISSUE.NTF.pdf
10-24-2012	N271	Response to Amendment under Rule 312	PROSECUTION	2	12806661-2012-10-24-00001-N271.pdf
10-15-2012	IFEE	Issue Fee Payment (PTO-85B)	PROSECUTION	1	12806661-2012-10-15-00006-IFEE.pdf
10-15-2012	A.NA	Amendment after Notice of Allowance (Rule 312)	PROSECUTION	1	12806661-2012-10-15-00005-A.NA.pdf
10-15-2012	CLM	Claims	PROSECUTION	4	12806661-2012-10-15-00004-CLM.pdf
10-15-2012	REM	Applicant Arguments/Remarks Made in an Amendment	PROSECUTION	1	12806661-2012-10-15-00003-REM.pdf
10-15-2012	WFEE	Fee Worksheet (SB06)	PROSECUTION	2	12806661-2012-10-15-00002-WFEE.pdf
10-15-2012	N417	EFS Acknowledgment Receipt	PROSECUTION	3	12806661-2012-10-15-00001-N417.pdf
07-13-2012	NOA	Notice of Allowance and Fees Due (PTOL-85)	PROSECUTION	7	12806661-2012-07-13-00005-NOA.pdf
07-13-2012	1449	List of References cited by applicant and considered by examiner	PROSECUTION	5	12806661-2012-07-13-00004-1449.pdf
07-13-2012	SRFW	Search information including classification, databases and other search related notes	PROSECUTION	1	12806661-2012-07-13-00003-SRFW.pdf
07-13-2012	IIFW	Issue Information including classification, examiner, name, claim, renumbering, etc.	PROSECUTION	1	12806661-2012-07-13-00002-IIFW.pdf
07-13-2012	1449	List of References cited by applicant and considered by examiner	PROSECUTION	1	12806661-2012-07-13-00001-1449.pdf
07-05-2012	DISQ	Terminal Disclaimer review decision	PROSECUTION	1	12806661-2012-07-05-00001-DISQ.pdf
07-02-2012	A...	Amendment/Req. Reconsideration-After Non-Final Reject	PROSECUTION	1	12806661-2012-07-02-00007-A....pdf
07-02-2012	CLM	Claims	PROSECUTION	4	12806661-2012-07-02-00006-CLM.pdf
07-02-2012	REM	Applicant Arguments/Remarks Made in an Amendment	PROSECUTION	2	12806661-2012-07-02-00005-REM.pdf
07-02-2012	DIST	Terminal Disclaimer Filed	PROSECUTION	2	12806661-2012-07-02-00004-DIST.pdf
07-02-2012	WFEE	Fee Worksheet (SB06)	PROSECUTION	2	12806661-2012-07-02-00003-WFEE.pdf
07-02-2012	N417	EFS Acknowledgment Receipt	PROSECUTION	3	12806661-2012-07-02-00002-N417.pdf
07-02-2012	WFEE	Fee Worksheet (SB06)	PROSECUTION	1	12806661-2012-07-02-00001-WFEE.pdf
05-25-2012	IDS	Information Disclosure Statement (IDS) Form (SB08)	PROSECUTION	1	12806661-2012-05-25-00006-IDS.pdf
05-25-2012	NPL	Non Patent Literature	PRIOR ART	5	
05-25-2012	NPL	Non Patent Literature	PRIOR ART	8	
05-25-2012	WFEE	Fee Worksheet (SB06)	PROSECUTION	2	12806661-2012-05-25-00003-WFEE.pdf
05-25-2012	N417	EFS Acknowledgment Receipt	PROSECUTION	3	12806661-2012-05-25-00002-N417.pdf
05-25-2012	TRAN.LET	Transmittal Letter	PROSECUTION	3	12806661-2012-05-25-00001-TRAN.LET.pdf
04-12-2012	IDS	Information Disclosure Statement (IDS) Form (SB08)	PROSECUTION	5	12806661-2012-04-12-00028-IDS.pdf
04-12-2012	WFEE	Fee Worksheet (SB06)	PROSECUTION	2	12806661-2012-04-12-00027-WFEE.pdf
04-12-2012	N417	EFS Acknowledgment Receipt	PROSECUTION	5	12806661-2012-04-12-00026-N417.pdf
