Mail Room Date	Document Code	Document Description	Document Category	Page Count	Filename
04-10-2013	ISSUE.NTF	Issue Notification	PROSECUTION	1	11328678-2013-04-10-00001-ISSUE.NTF.pdf
04-04-2013	SPEC	Specification	PROSECUTION	1	11328678-2013-04-04-00001-SPEC.pdf
04-01-2013	IFEE	Issue Fee Payment (PTO-85B)	PROSECUTION	1	11328678-2013-04-01-00003-IFEE.pdf
04-01-2013	WFEE	Fee Worksheet (SB06)	PROSECUTION	2	11328678-2013-04-01-00002-WFEE.pdf
04-01-2013	N417	EFS Acknowledgment Receipt	PROSECUTION	2	11328678-2013-04-01-00001-N417.pdf
03-20-2013	TRAN.LET	Transmittal Letter	PROSECUTION	1	11328678-2013-03-20-00003-TRAN.LET.pdf
03-20-2013	DRW.NONBW	Drawings-other than black and white line drawings	PROSECUTION	9	11328678-2013-03-20-00002-DRW.NONBW.pdf
03-20-2013	N417	EFS Acknowledgment Receipt	PROSECUTION	2	11328678-2013-03-20-00001-N417.pdf
01-10-2013	NOA	Notice of Allowance and Fees Due (PTOL-85)	PROSECUTION	5	11328678-2013-01-10-00007-NOA.pdf
01-10-2013	892	List of references cited by examiner	PRIOR ART	2	11328678-2013-01-10-00006-892.pdf
01-10-2013	SRFW	Search information including classification, databases and other search related notes	PROSECUTION	1	11328678-2013-01-10-00005-SRFW.pdf
01-10-2013	FWCLM	Index of Claims	PROSECUTION	1	11328678-2013-01-10-00004-FWCLM.pdf
01-10-2013	SRNT	Examiner's search strategy and results	PROSECUTION	16	11328678-2013-01-10-00003-SRNT.pdf
01-10-2013	IIFW	Issue Information including classification, examiner, name, claim, renumbering, etc.	PROSECUTION	1	11328678-2013-01-10-00002-IIFW.pdf
01-10-2013	BIB	Bibliographic Data Sheet	PROSECUTION	1	11328678-2013-01-10-00001-BIB.pdf
04-03-2012	AP.B	Appeal Brief Filed	PROSECUTION	14	11328678-2012-04-03-00003-AP.B.pdf
04-03-2012	WFEE	Fee Worksheet (SB06)	PROSECUTION	2	11328678-2012-04-03-00002-WFEE.pdf
