Date	Transaction Description
09-24-2009	Email Notification
09-24-2009	Mail Abandonment for Failure to Respond to Office Action
09-22-2009	Aband. for Failure to Respond to O. A.
04-14-2009	Case Docketed to Examiner in GAU
01-26-2009	Electronic Review
01-26-2009	Email Notification
01-26-2009	Mail Non-Final Rejection
01-21-2009	Non-Final Rejection
11-04-2005	Information Disclosure Statement considered
12-23-2008	IFW TSS Processing by Tech Center Complete
11-04-2005	Reference capture on IDS
11-04-2005	Information Disclosure Statement (IDS) Filed
11-04-2005	Information Disclosure Statement (IDS) Filed
12-08-2008	Case Docketed to Examiner in GAU
05-21-2007	Correspondence Address Change
05-10-2007	PG-Pub Issue Notification
02-20-2007	Case Docketed to Examiner in GAU
04-08-2006	Transfer Inquiry to GAU
12-05-2005	Application Return from OIPE
12-06-2005	Application Is Now Complete
12-05-2005	Application Return TO OIPE
12-02-2005	Application Dispatched from OIPE
12-05-2005	Application Is Now Complete
11-30-2005	Cleared by OIPE CSR
11-22-2005	IFW Scan & PACR Auto Security Review
11-04-2005	Initial Exam Team nn
