Date	Transaction Description
11-04-2009	Email Notification
11-04-2009	Mail Abandonment for Failure to Respond to Office Action
11-01-2009	Aband. for Failure to Respond to O. A.
01-14-2009	Electronic Review
01-14-2009	Email Notification
01-14-2009	Mail Non-Final Rejection
01-08-2009	Non-Final Rejection
10-26-2005	Information Disclosure Statement considered
12-09-2008	Case Docketed to Examiner in GAU
11-10-2008	Case Docketed to Examiner in GAU
11-10-2008	Case Docketed to Examiner in GAU
10-04-2007	Case Docketed to Examiner in GAU
01-09-2006	IFW TSS Processing by Tech Center Complete
01-09-2006	Case Docketed to Examiner in GAU
06-10-2005	Preliminary Amendment
06-10-2005	Request for Foreign Priority (Priority Papers May Be Included)
10-26-2005	Information Disclosure Statement (IDS) Filed
10-26-2005	Information Disclosure Statement (IDS) Filed
10-26-2005	Reference capture on IDS
12-13-2005	Cleared by OIPE CSR
12-13-2005	Cleared by OIPE CSR
12-13-2005	Cleared by OIPE CSR
12-09-2005	Transfer Inquiry to GAU
06-10-2005	371 Completion Date
12-05-2005	Application Dispatched from OIPE
12-05-2005	Notice of DO/EO Acceptance Mailed
12-02-2005	Correspondence Address Change
06-10-2005	Initial Exam Team nn
