Date	Transaction Description
03-27-2014	Date Forwarded to Examiner
03-27-2014	Disposal for a RCE / CPA / R129
03-26-2014	Request for Continued Examination (RCE)
03-26-2014	Workflow - Request for RCE - Begin
03-25-2014	Mail Interview Summary - Applicant Initiated - Telephonic
03-20-2014	Interview Summary- Applicant Initiated
03-20-2014	Interview Summary - Applicant Initiated - Telephonic
03-11-2014	Mail Advisory Action (PTOL - 303)
03-07-2014	Advisory Action (PTOL-303)
02-27-2014	Date Forwarded to Examiner
02-26-2014	Response after Final Action
12-26-2013	Mail Final Rejection (PTOL - 326)
12-23-2013	Final Rejection
09-11-2013	Date Forwarded to Examiner
09-05-2013	Information Disclosure Statement considered
09-05-2013	Electronic Information Disclosure Statement
09-05-2013	Information Disclosure Statement (IDS) Filed
09-04-2013	Response after Non-Final Action
06-04-2013	Mail Non-Final Rejection
06-01-2013	Non-Final Rejection
05-09-2013	Case Docketed to Examiner in GAU
04-19-2012	Case Docketed to Examiner in GAU
03-08-2010	Information Disclosure Statement considered
03-08-2010	Information Disclosure Statement (IDS) Filed
03-08-2010	Reference capture on IDS
03-08-2010	Information Disclosure Statement (IDS) Filed
02-26-2010	Date Forwarded to Examiner
02-26-2010	Disposal for a RCE / CPA / R129
02-25-2010	Request for Continued Examination (RCE)
02-25-2010	Request for Extension of Time - Granted
02-25-2010	Workflow - Request for RCE - Begin
01-15-2010	Mail Advisory Action (PTOL - 303)
01-14-2010	Advisory Action (PTOL-303)
12-27-2009	Date Forwarded to Examiner
12-16-2009	Response after Final Action
10-16-2009	Mail Final Rejection (PTOL - 326)
10-13-2009	Final Rejection
08-21-2009	PARALEGAL OR ELECTRONIC TERMINAL DISCLAIMER APPROVED
08-10-2009	Date Forwarded to Examiner
07-07-2009	Terminal Disclaimer Filed
07-07-2009	Terminal Disclaimer Filed
07-07-2009	Response after Non-Final Action
07-07-2009	Request for Extension of Time - Granted
01-07-2009	Mail Non-Final Rejection
01-05-2009	Non-Final Rejection
08-26-2008	Case Docketed to Examiner in GAU
03-12-2008	Case Docketed to Examiner in GAU
08-15-2007	Case Docketed to Examiner in GAU
02-01-2007	PG-Pub Issue Notification
01-24-2007	Preliminary Amendment
11-22-2006	Correspondence Address Change
11-07-2006	Mail Non-Compliant Preliminary Amendment
11-02-2006	IFW TSS Processing by Tech Center Complete
11-02-2006	Non-Compliant Preliminary Amendment
10-25-2006	Application Return from OIPE
10-25-2006	Application Return TO OIPE
10-25-2006	Application Return from OIPE
10-25-2006	Application Return TO OIPE
10-25-2006	Application Dispatched from OIPE
10-25-2006	Application Is Now Complete
10-18-2006	Cleared by OIPE CSR
10-15-2006	IFW Scan & PACR Auto Security Review
10-03-2006	Preliminary Amendment
10-03-2006	Preliminary Amendment
10-03-2006	Initial Exam Team nn
