Application Number	11/542,281
Filing or 371 (c) Date	10-03-2006
Application Type	Utility
Examiner Name	CHIUSANO, ANDREW TSUTOMU
Group Art Unit	2174
Confirmation Number	5720
Attorney Docket Number	OIC0114C1US
Class / Subclass	715/763
First Named Inventor	Issac Stephen Levin , Sunnyvale, CA (US)
Entity Status	Undiscounted
Customer Number	-
Status	Docketed New Case - Ready for Examination
Status Date	03-27-2014
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2007-0028179 A1
Earliest Publication Date	02-01-2007
Patent Number	-
Issue Date of Patent	-
AIA (First Inventor to File)	No
Title of Invention	Method and apparatus to present an integrated process modeler
