Application Number	11/633,617
Filing or 371 (c) Date	12-05-2006
Application Type	Utility
Examiner Name	NORRIS, JEREMY C
Group Art Unit	2841
Confirmation Number	1622
Attorney Docket Number	1633.0168C
Class / Subclass	174/125.100
First Named Inventor	Jurgen Kellers , Haltern, (DE)
Customer Number	-
Status	Patented Case
Status Date	04-22-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2007-0144765 A1
Earliest Publication Date	06-28-2007
Patent Number	7,531,750
Issue Date of Patent	05-12-2009
Title of Invention	POWER SUPPLY LINE FOR CRYOGENIC ELECTRICAL SYSTEMS
