Date	Transaction Description
05-12-2009	Recordation of Patent Grant Mailed
04-23-2009	Email Notification
04-22-2009	Issue Notification Mailed
05-12-2009	Patent Issue Date Used in PTA Calculation
04-06-2009	Dispatch to FDC
04-06-2009	Application Is Considered Ready for Issue
04-01-2009	Issue Fee Payment Verified
04-01-2009	Issue Fee Payment Received
01-30-2009	Electronic Review
01-30-2009	Email Notification
01-30-2009	Mail Notice of Allowance
01-24-2009	Notice of Allowance Data Verification Completed
01-24-2009	Document Verification
12-05-2006	Information Disclosure Statement considered
06-28-2007	PG-Pub Issue Notification
06-15-2007	Case Docketed to Examiner in GAU
05-16-2007	Transfer Inquiry to GAU
04-23-2007	IFW TSS Processing by Tech Center Complete
03-05-2007	Request for Foreign Priority (Priority Papers May Be Included)
12-05-2006	Information Disclosure Statement (IDS) Filed
12-05-2006	Information Disclosure Statement (IDS) Filed
04-17-2007	Application Dispatched from OIPE
03-13-2007	Sent to Classification Contractor
03-14-2007	Application Is Now Complete
03-05-2007	Payment of additional filing fee/Preexam
03-05-2007	Small Entity Statement (37 CFR 1.27)
03-05-2007	A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic
01-05-2007	Notice Mailed--Application Incomplete--Filing Date Assigned
12-20-2006	Cleared by L&R (LARS)
12-16-2006	Referred to Level 2 (LARS) by OIPE CSR
12-12-2006	IFW Scan & PACR Auto Security Review
12-05-2006	Initial Exam Team nn
