Date	Transaction Description
01-12-2012	Appeal Brief Review Complete
11-14-2011	Notice of Appeal Filed
11-09-2011	Email Notification
11-09-2011	Mail Advisory Action (PTOL - 303)
10-28-2011	Advisory Action (PTOL-303)
10-13-2011	Date Forwarded to Examiner
10-12-2011	Amendment after Final Rejection
08-12-2011	Electronic Review
08-12-2011	Email Notification
08-12-2011	Mail Final Rejection (PTOL - 326)
06-24-2011	Final Rejection
06-29-2011	Date Forwarded to Examiner
06-27-2011	Response after Non-Final Action
03-25-2011	Electronic Review
03-25-2011	Email Notification
03-25-2011	Mail Non-Final Rejection
03-01-2011	Examiner Interview Summary Record (PTOL - 413)
03-22-2011	Non-Final Rejection
03-04-2011	Date Forwarded to Examiner
03-03-2011	Request for Continued Examination (RCE)
03-04-2011	Disposal for a RCE / CPA / R129
03-03-2011	Workflow - Request for RCE - Begin
02-25-2011	Date Forwarded to Examiner
02-21-2011	Reply Brief Filed
01-05-2011	Exam. Ans. Review Complete
12-20-2010	Mail Examiner's Answer
12-18-2010	Examiner's Answer to Appeal Brief
10-25-2010	Date Forwarded to Examiner
10-15-2010	Appeal Brief Filed
10-22-2010	Appeal Brief Review Complete
08-18-2010	Notice of Appeal Filed
07-27-2010	Mail Advisory Action (PTOL - 303)
07-27-2010	Advisory Action (PTOL-303)
07-21-2010	Date Forwarded to Examiner
07-20-2010	Amendment after Final Rejection
05-21-2010	Mail Final Rejection (PTOL - 326)
05-18-2010	Final Rejection
03-11-2010	Date Forwarded to Examiner
02-08-2010	Response after Non-Final Action
11-09-2009	Mail Non-Final Rejection
11-06-2009	Non-Final Rejection
10-23-2009	Date Forwarded to Examiner
10-23-2009	Date Forwarded to Examiner
10-20-2009	Request for Continued Examination (RCE)
10-23-2009	Disposal for a RCE / CPA / R129
10-20-2009	Workflow - Request for RCE - Begin
09-29-2009	Mail Advisory Action (PTOL - 303)
09-28-2009	Advisory Action (PTOL-303)
09-24-2009	Date Forwarded to Examiner
09-21-2009	Amendment after Final Rejection
07-21-2009	Mail Final Rejection (PTOL - 326)
07-20-2009	Final Rejection
06-10-2009	Date Forwarded to Examiner
05-04-2009	Response after Non-Final Action
04-14-2009	Case Docketed to Examiner in GAU
02-02-2009	Mail Non-Final Rejection
01-29-2009	Non-Final Rejection
08-15-2007	Information Disclosure Statement considered
09-23-2008	Case Docketed to Examiner in GAU
09-13-2008	Case Docketed to Examiner in GAU
08-15-2007	Electronic Information Disclosure Statement
08-15-2007	Information Disclosure Statement (IDS) Filed
03-08-2007	IFW TSS Processing by Tech Center Complete
03-08-2007	Case Docketed to Examiner in GAU
02-22-2006	Request for Foreign Priority (Priority Papers May Be Included)
02-22-2006	Preliminary Amendment
02-27-2006	371 Completion Date
09-14-2006	Application Dispatched from OIPE
03-24-2006	Cleared by OIPE CSR
02-22-2006	Initial Exam Team nn
