Application Number	10/310,232
Filing or 371 (c) Date	12-05-2002
Application Type	Utility
Examiner Name	TRAN, SUSAN T
Group Art Unit	1615
Confirmation Number	6606
Attorney Docket Number	PC9838B
Class / Subclass	424/456
First Named Inventor	William John Curatolo , Niantic, CT (US)
Customer Number	-
Status	Abandoned -- Failure to Respond to an Office Action
Status Date	03-05-2007
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2003-0133974 A1
Earliest Publication Date	07-17-2003
Patent Number	-
Issue Date of Patent	-
Title of Invention	Encapsulated solution dosage forms of sertraline
