Application Number	12/018,205
Filing or 371 (c) Date	01-23-2008
Application Type	Utility
Examiner Name	RICHARDSON, JANY
Group Art Unit	2819
Confirmation Number	7729
Attorney Docket Number	MTKP0517USA
Class / Subclass	326/083
First Named Inventor	Kuan-Hua Chao , Taipei County, (TW)
Entity Status	Undiscounted
Customer Number	-
Status	Abandoned -- Failure to Respond to an Office Action
Status Date	09-14-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2009-0184732 A1
Earliest Publication Date	07-23-2009
Patent Number	-
Issue Date of Patent	-
AIA (First Inventor to File)	No
Title of Invention	DIFFERENTIAL DRIVING CIRCUIT CAPABLE OF OPERATING AT LOW SUPPLY VOLTAGE WITHOUT REQUIRING COMMON MODE REFERENCE VOLTAGE
