Date	Transaction Description
09-21-2009	Email Notification
09-21-2009	Mail Abandonment for Failure to Respond to Office Action
09-14-2009	Aband. for Failure to Respond to O. A.
07-24-2009	Email Notification
07-23-2009	PG-Pub Issue Notification
01-31-2009	Mail Post Card
01-23-2009	Email Notification
01-23-2009	Mail Non-Final Rejection
01-20-2009	Non-Final Rejection
12-22-2008	Case Docketed to Examiner in GAU
07-21-2008	Case Docketed to Examiner in GAU
06-16-2008	IFW TSS Processing by Tech Center Complete
04-21-2008	Application Dispatched from OIPE
02-11-2008	Email Notification
02-11-2008	Filing Receipt
02-11-2008	Application Is Now Complete
02-08-2008	Sent to Classification Contractor
01-31-2008	Cleared by OIPE CSR
01-23-2008	Information Disclosure Statement considered
01-23-2008	Electronic Information Disclosure Statement
01-23-2008	Information Disclosure Statement (IDS) Filed
01-23-2008	IFW Scan & PACR Auto Security Review
01-23-2008	Initial Exam Team nn
