Date	Transaction Description
11-27-2012	Recordation of Patent Grant Mailed
11-27-2012	Patent Issue Date Used in PTA Calculation
11-07-2012	Issue Notification Mailed
10-25-2012	Dispatch to FDC
10-24-2012	Mail Response to 312 Amendment (PTO-271)
10-22-2012	Application Is Considered Ready for Issue
10-22-2012	Response to Amendment under Rule 312
10-19-2012	Pubs Case Remand to TC
10-15-2012	Amendment after Notice of Allowance (Rule 312)
10-15-2012	Issue Fee Payment Verified
10-15-2012	Issue Fee Payment Received
07-13-2012	Mail Notice of Allowance
07-11-2012	Document Verification
07-11-2012	Notice of Allowance Data Verification Completed
07-10-2012	Reasons for Allowance
07-07-2012	Date Forwarded to Examiner
07-05-2012	PARALEGAL OR ELECTRONIC TERMINAL DISCLAIMER APPROVED
07-02-2012	Response after Non-Final Action
07-02-2012	Request for Extension of Time - Granted
07-02-2012	Terminal Disclaimer Filed
05-25-2012	Information Disclosure Statement considered
05-25-2012	Information Disclosure Statement (IDS) Filed
05-25-2012	Information Disclosure Statement (IDS) Filed
04-12-2012	Information Disclosure Statement considered
04-12-2012	Reference capture on IDS
04-12-2012	Information Disclosure Statement (IDS) Filed
04-12-2012	Information Disclosure Statement (IDS) Filed
02-02-2012	Mail Non-Final Rejection
01-27-2012	Non-Final Rejection
01-25-2012	Case Docketed to Examiner in GAU
01-22-2012	Case Docketed to Examiner in GAU
08-12-2011	Filing Receipt - Corrected
05-27-2011	Case Docketed to Examiner in GAU
02-24-2011	PG-Pub Issue Notification
12-08-2010	Information Disclosure Statement considered
12-08-2010	Reference capture on IDS
12-08-2010	Information Disclosure Statement (IDS) Filed
12-08-2010	Information Disclosure Statement (IDS) Filed
12-03-2010	Application Dispatched from OIPE
11-17-2010	Application Is Now Complete
11-17-2010	Filing Receipt - Updated
11-16-2010	Sent to Classification Contractor
11-08-2010	Miscellaneous Incoming Letter
11-08-2010	Additional Application Filing Fees
11-08-2010	A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic
11-08-2010	Ommited Drawings. Applicant has Petitioned that the Filing Date not be changed and the Petition has
09-08-2010	Filing Receipt
09-08-2010	Notice Mailed--Application Incomplete--Filing Date Assigned
08-27-2010	Cleared by OIPE CSR
08-25-2010	IFW Scan & PACR Auto Security Review
08-19-2010	Initial Exam Team nn
