Filing or 371(c) Date	08-10-2005
Issue Date of Patent	11-03-2009
A Delays	820
B Delays	0
C Delays	0
Overlapping Days Between {A and B} or {A and C}	0
Non-Overlapping USPTO Delays	820
PTO Manual Adjustments	0
Applicant Delays	16
Total PTA Adjustments	804

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
58.5	10-14-2009	PTA 36 Months	0		0
58	11-03-2009	Patent Issue Date Used in PTA Calculation			0
57	10-06-2009	Export to Final Data Capture			0
56	10-05-2009	Dispatch to FDC			0
55	10-01-2009	Mail Response to 312 Amendment (PTO-271)			0
54	09-30-2009	Response to Amendment under Rule 312			0
53	09-16-2009	Amendment after Notice of Allowance (Rule 312)		16	55
52	09-25-2009	Application Is Considered Ready for Issue			0
51	09-17-2009	Issue Fee Payment Verified			0
50	09-17-2009	Issue Fee Payment Received			0
49	08-19-2009	Finished Initial Data Capture			0
48	07-17-2009	Export to Initial Data Capture			0
47	07-15-2009	Mail Notice of Allowance			0
46	07-14-2009	Issue Revision Completed			0
45	07-14-2009	Document Verification			0
44	07-14-2009	Notice of Allowance Data Verification Completed			0
43	07-14-2009	Case Docketed to Examiner in GAU			0
42	07-14-2009	Allowability Notice			0
40	07-13-2009	Case Docketed to Examiner in GAU			0
39	07-13-2009	Case Docketed to Examiner in GAU			0
38	06-16-2009	Date Forwarded to Examiner			0
37	06-05-2009	Amendment Submitted/Entered with Filing of CPA/RCE			0
36	06-16-2009	Date Forwarded to Examiner			0
35	06-05-2009	Request for Continued Examination (RCE)			0
34	06-16-2009	Disposal for a RCE / CPA / R129			0
33	06-05-2009	Workflow - Request for RCE - Begin			0
32	05-15-2009	Mail Advisory Action (PTOL - 303)			0
31	05-15-2009	Advisory Action (PTOL-303)			0
30	05-08-2009	Date Forwarded to Examiner			0
29	04-27-2009	Response after Final Action			0
28	04-14-2009	Mail Final Rejection (PTOL - 326)			0
27	04-13-2009	Final Rejection			0
26	03-31-2009	Case Docketed to Examiner in GAU			0
25	01-30-2009	Date Forwarded to Examiner			0
24	01-16-2009	Response after Non-Final Action			0
22	01-07-2009	Mail Non-Final Rejection	820		-1
21	01-05-2009	Non-Final Rejection			0
15	09-02-2008	Case Docketed to Examiner in GAU			0
14	10-31-2007	Case Docketed to Examiner in GAU			0
13	01-16-2007	Correspondence Address Change			0
12	01-12-2007	Correspondence Address Change			0
11	01-12-2007	Correspondence Address Change			0
10	11-22-2006	IFW TSS Processing by Tech Center Complete			0
9	09-01-2005	Application Return from OIPE			0
8	09-02-2005	Application Is Now Complete			0
7	09-01-2005	Application Return TO OIPE			0
6	09-01-2005	Application Dispatched from OIPE			0
5	09-01-2005	Application Is Now Complete			0
4	08-10-2005	PGPubs nonPub Request			0
3	08-24-2005	Cleared by OIPE CSR			0
2	08-20-2005	IFW Scan & PACR Auto Security Review			0
1	08-10-2005	Initial Exam Team nn			0
