Date	Transaction Description
07-13-2010	Application Is Considered for C of C
04-21-2010	Mail-Petition Decision - Granted
04-21-2010	Petition Decision - Granted
03-02-2010	Petition Entered
10-14-2009	Issue Notification Mailed
11-03-2009	Patent Issue Date Used in PTA Calculation
09-30-2009	Dispatch to FDC
09-30-2009	Application Is Considered Ready for Issue
09-23-2009	Issue Fee Payment Verified
09-23-2009	Issue Fee Payment Received
06-25-2009	Mail Notice of Allowance
06-24-2009	Document Verification
06-24-2009	Notice of Allowance Data Verification Completed
06-02-2009	Information Disclosure Statement considered
06-02-2009	Information Disclosure Statement (IDS) Filed
06-02-2009	Reference capture on IDS
06-17-2009	Date Forwarded to Examiner
05-26-2009	Response after Non-Final Action
05-26-2009	Request for Extension of Time - Granted
06-02-2009	Information Disclosure Statement (IDS) Filed
01-28-2009	Mail Non-Final Rejection
01-23-2009	Non-Final Rejection
05-03-2006	Information Disclosure Statement considered
09-11-2006	Information Disclosure Statement considered
11-18-2008	Date Forwarded to Examiner
11-14-2008	Response to Election / Restriction Filed
10-15-2008	Mail Restriction Requirement
10-14-2008	Restriction/Election Requirement
09-10-2008	Case Docketed to Examiner in GAU
01-10-2008	Case Docketed to Examiner in GAU
10-28-2007	Transfer Inquiry to GAU
09-11-2006	Information Disclosure Statement (IDS) Filed
06-08-2006	IFW TSS Processing by Tech Center Complete
05-03-2006	Request for Foreign Priority (Priority Papers May Be Included)
05-03-2006	Reference capture on IDS
05-03-2006	Information Disclosure Statement (IDS) Filed
05-03-2006	Information Disclosure Statement (IDS) Filed
06-02-2006	Application Dispatched from OIPE
06-02-2006	Application Is Now Complete
05-24-2006	Cleared by OIPE CSR
05-17-2006	IFW Scan & PACR Auto Security Review
05-03-2006	Initial Exam Team nn
