Filing or 371(c) Date	05-03-2006
Issue Date of Patent	11-03-2009
A Delays	470
B Delays	184
C Delays	0
Overlapping Days Between {A and B} or {A and C}	0
Non-Overlapping USPTO Delays	654
PTO Manual Adjustments	0
Applicant Delays	35
Total PTA Adjustments	619

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
47	04-17-2010	Petition Decision - Granted			0
46	03-02-2010	Petition Entered			0
45	10-14-2009	Issue Notification Mailed			0
44.5	11-03-2009	PTA 36 Months	184		0
44	11-03-2009	Patent Issue Date Used in PTA Calculation			0
43	10-01-2009	Export to Final Data Capture			0
42	09-30-2009	Dispatch to FDC			0
41	09-30-2009	Application Is Considered Ready for Issue			0
40	09-23-2009	Issue Fee Payment Verified			0
39	09-23-2009	Issue Fee Payment Received			0
38	07-24-2009	Finished Initial Data Capture			0
37	06-30-2009	Export to Initial Data Capture			0
36	06-25-2009	Mail Notice of Allowance			0
35	06-24-2009	Issue Revision Completed			0
34	06-24-2009	Document Verification			0
33	06-24-2009	Notice of Allowance Data Verification Completed			0
32	06-24-2009	Allowability Notice			0
31	06-02-2009	Information Disclosure Statement considered			0
30	06-02-2009	Information Disclosure Statement (IDS) Filed		7	27
29	06-02-2009	Reference capture on IDS			0
28	06-17-2009	Date Forwarded to Examiner			0
27	05-26-2009	Response after Non-Final Action		28	24
26	05-26-2009	Request for Extension of Time - Granted			0
25	06-02-2009	Information Disclosure Statement (IDS) Filed			0
24	01-28-2009	Mail Non-Final Rejection			0
23	01-23-2009	Non-Final Rejection			0
22	05-03-2006	Information Disclosure Statement considered			0
21	09-11-2006	Information Disclosure Statement considered			0
17	11-18-2008	Date Forwarded to Examiner			0
16	11-14-2008	Response to Election / Restriction Filed			0
15	10-15-2008	Mail Restriction Requirement	470		-1
14	10-14-2008	Restriction/Election Requirement			0
13	09-10-2008	Case Docketed to Examiner in GAU			0
12	01-10-2008	Case Docketed to Examiner in GAU			0
11	10-28-2007	Transfer Inquiry to GAU			0
10	09-11-2006	Information Disclosure Statement (IDS) Filed			0
9	06-08-2006	IFW TSS Processing by Tech Center Complete			0
8	05-03-2006	Request for Foreign Priority (Priority Papers May Be Included)			0
7	05-03-2006	Reference capture on IDS			0
6.7	05-03-2006	Information Disclosure Statement (IDS) Filed			0
6	05-03-2006	Information Disclosure Statement (IDS) Filed			0
5	06-02-2006	Application Dispatched from OIPE			0
4	06-02-2006	Application Is Now Complete			0
3	05-24-2006	Cleared by OIPE CSR			0
2	05-17-2006	IFW Scan & PACR Auto Security Review			0
1	05-03-2006	Initial Exam Team nn			0
