Date	Transaction Description
10-06-2009	Recordation of Patent Grant Mailed
09-16-2009	Issue Notification Mailed
10-06-2009	Patent Issue Date Used in PTA Calculation
08-27-2009	Dispatch to FDC
08-27-2009	Application Is Considered Ready for Issue
08-24-2009	Issue Fee Payment Verified
08-24-2009	Issue Fee Payment Received
06-18-2009	Mail Examiner's Amendment
06-18-2009	Mail Notice of Allowance
06-17-2009	Document Verification
06-17-2009	Notice of Allowance Data Verification Completed
06-15-2009	Examiner's Amendment Communication
05-30-2009	Date Forwarded to Examiner
04-30-2009	Response after Non-Final Action
02-02-2009	Mail Non-Final Rejection
01-30-2009	Non-Final Rejection
01-26-2007	Information Disclosure Statement considered
12-29-2008	PG-Pub Issue Notification
12-19-2008	Case Docketed to Examiner in GAU
01-26-2007	Information Disclosure Statement (IDS) Filed
09-09-2008	Request for Foreign Priority (Priority Papers May Be Included)
01-26-2007	Reference capture on IDS
01-26-2007	Information Disclosure Statement (IDS) Filed
01-26-2007	Preliminary Amendment
11-26-2008	IFW TSS Processing by Tech Center Complete
09-17-2008	Application Dispatched from OIPE
11-14-2007	371 Completion Date
09-12-2008	Sent to Classification Contractor
09-12-2008	Filing Receipt
09-12-2008	Notice of DO/EO Acceptance Mailed
03-06-2007	Cleared by OIPE CSR
03-06-2007	IFW Scan & PACR Auto Security Review
01-26-2007	Initial Exam Team nn
