Application Number	11/658,421
Filing or 371 (c) Date	11-14-2007
Application Type	Utility
Examiner Name	SMITH, JASON C
Group Art Unit	3617
Confirmation Number	7039
Attorney Docket Number	59017/F410
Class / Subclass	105/392.500
First Named Inventor	Thomas Malfent , Wien, (AT)
Customer Number	-
Status	Patented Case
Status Date	09-16-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2008-0314282 A1
Earliest Publication Date	12-25-2008
Patent Number	7,597,052
Issue Date of Patent	10-06-2009
Title of Invention	ANTICLIMBER FOR RAILROAD VEHICLES
