Filing or 371(c) Date	11-14-2007
Issue Date of Patent	10-06-2009
A Delays	19
B Delays	0
C Delays	0
Overlapping Days Between {A and B} or {A and C}	0
Non-Overlapping USPTO Delays	19
PTO Manual Adjustments	0
Applicant Delays	0
Total PTA Adjustments	19

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
39	10-06-2009	Patent Issue Date Used in PTA Calculation			0
38	08-28-2009	Export to Final Data Capture			0
37	08-27-2009	Dispatch to FDC			0
36	08-27-2009	Application Is Considered Ready for Issue			0
35	08-24-2009	Issue Fee Payment Verified			0
34	08-24-2009	Issue Fee Payment Received			0
33	07-20-2009	Finished Initial Data Capture			0
32	06-22-2009	Export to Initial Data Capture			0
30	06-18-2009	Mail Notice of Allowance			0
29	06-17-2009	Issue Revision Completed			0
28	06-17-2009	Document Verification			0
27	06-17-2009	Notice of Allowance Data Verification Completed			0
26	06-15-2009	Examiner's Amendment Communication			0
25	06-15-2009	Allowability Notice			0
24	05-30-2009	Date Forwarded to Examiner			0
23	04-30-2009	Response after Non-Final Action			0
22	02-02-2009	Mail Non-Final Rejection	19		7
21	01-30-2009	Non-Final Rejection			0
16	12-29-2008	PG-Pub Issue Notification			0
15	12-19-2008	Case Docketed to Examiner in GAU			0
13	09-09-2008	Request for Foreign Priority (Priority Papers May Be Included)			0
9	11-26-2008	IFW TSS Processing by Tech Center Complete			0
8	09-17-2008	Application Dispatched from OIPE			0
7	11-14-2007	371 Completion Date			0
6	09-12-2008	Sent to Classification Contractor			0
5	09-12-2008	Filing Receipt			0
4	09-12-2008	Notice of DO/EO Acceptance Mailed			0
