Application Number	11/463,337
Filing or 371 (c) Date	08-09-2006
Application Type	Utility
Examiner Name	RUMP, RICHARD M
Group Art Unit	1793
Confirmation Number	6778
Attorney Docket Number	P30059
Class / Subclass	423/155
First Named Inventor	Shintaro KOBAYASHI , Tokyo, (JP)
Customer Number	-
Status	Patented Case
Status Date	05-12-2010
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2007-0053814 A1
Earliest Publication Date	03-08-2007
Patent Number	7,727,497
Issue Date of Patent	06-01-2010
Title of Invention	METHOD FOR PRODUCING PARTICLES, PARTICLES, AND SINTERED BODY
