Filing or 371(c) Date	08-09-2006
Issue Date of Patent	06-01-2010
A Delays	386
B Delays	94
C Delays	0
Overlapping Days Between {A and B} or {A and C}	0
Non-Overlapping USPTO Delays	480
PTO Manual Adjustments	0
Applicant Delays	68
Total PTA Adjustments	412

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
89.5	11-11-2009	PTA 36 Months	94		0
89	06-01-2010	Patent Issue Date Used in PTA Calculation			0
88	04-20-2010	Export to Final Data Capture			0
87	04-19-2010	Dispatch to FDC			0
86	04-16-2010	Email Notification			0
85	04-14-2010	Application Is Considered Ready for Issue			0
84	04-16-2010	Mail Response to 312 Amendment (PTO-271)			0
83	04-08-2010	Issue Fee Payment Verified			0
82	04-12-2010	Response to Amendment under Rule 312			0
81	04-08-2010	Response to Reasons for Allowance			0
80	04-08-2010	Amendment after Notice of Allowance (Rule 312)		9	84
79	04-06-2010	Amendment after Notice of Allowance (Rule 312)		2	84
78	04-08-2010	Issue Fee Payment Received			0
77	02-24-2010	Finished Initial Data Capture			0
76	01-19-2010	Export to Initial Data Capture			0
71	01-15-2010	Mail Notice of Allowance			0
70	01-13-2010	Issue Revision Completed			0
69	01-13-2010	Document Verification			0
68	01-13-2010	Notice of Allowance Data Verification Completed			0
67	01-13-2010	Case Docketed to Examiner in GAU			0
66	01-12-2010	Examiner's Amendment Communication			0
65	01-12-2010	Allowability Notice			0
62	11-12-2009	Date Forwarded to Examiner			0
61	11-12-2009	Amendment Submitted/Entered with Filing of CPA/RCE			0
60	11-12-2009	Date Forwarded to Examiner			0
59	11-12-2009	Request for Continued Examination (RCE)		57	53
58	11-12-2009	Disposal for a RCE / CPA / R129			0
57	11-12-2009	Request for Extension of Time - Granted			0
56	11-12-2009	Workflow - Request for RCE - Begin			0
55	06-16-2009	Electronic Review			0
54	06-16-2009	Email Notification			0
53	06-16-2009	Mail Supplemental Final Rejection			0
52	06-12-2009	Supplemental Final Rejection			0
51	06-03-2009	Electronic Review			0
50	06-03-2009	Email Notification			0
49	06-03-2009	Mail Final Rejection (PTOL - 326)			0
48	06-01-2009	Final Rejection			0
47	05-27-2009	Date Forwarded to Examiner			0
46	04-10-2009	Response after Non-Final Action			0
45	03-03-2009	Case Docketed to Examiner in GAU			0
44	01-13-2009	Electronic Review			0
43	01-13-2009	Email Notification			0
42	01-13-2009	Mail Non-Final Rejection			0
41	01-07-2009	Non-Final Rejection			0
36	06-19-2007	Information Disclosure Statement considered			0
35	01-12-2007	Information Disclosure Statement considered			0
34	11-15-2006	Information Disclosure Statement considered			0
33	12-23-2008	Date Forwarded to Examiner			0
32	12-19-2008	Response to Election / Restriction Filed			0
31	12-19-2008	Request for Extension of Time - Granted			0
30	10-29-2008	Electronic Review			0
29	10-29-2008	Email Notification			0
28	10-29-2008	Mail Restriction Requirement	386		-1
27	10-25-2008	Restriction/Election Requirement			0
26	10-07-2008	Case Docketed to Examiner in GAU			0
25	08-08-2008	Case Docketed to Examiner in GAU			0
24	02-07-2008	Case Docketed to Examiner in GAU			0
23	01-25-2008	Case Docketed to Examiner in GAU			0
22	06-19-2007	Reference capture on IDS			0
21	06-19-2007	Information Disclosure Statement (IDS) Filed			0
20	06-19-2007	Information Disclosure Statement (IDS) Filed			0
19	03-13-2007	PG-Pub Issue Notification			0
18	01-12-2007	Reference capture on IDS			0
17.7	01-12-2007	Information Disclosure Statement (IDS) Filed			0
17	01-12-2007	Information Disclosure Statement (IDS) Filed			0
16	12-21-2006	IFW TSS Processing by Tech Center Complete			0
12.7	11-15-2006	Information Disclosure Statement (IDS) Filed			0
12	11-15-2006	Information Disclosure Statement (IDS) Filed			0
11	11-15-2006	Request for Foreign Priority (Priority Papers May Be Included)			0
10	12-13-2006	Transfer Inquiry to GAU			0
9	11-28-2006	Application Dispatched from OIPE			0
8	11-28-2006	Application Is Now Complete			0
7	11-15-2006	Additional Application Filing Fees			0
6	11-15-2006	A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic			0
4	09-20-2006	Notice Mailed--Application Incomplete--Filing Date Assigned			0
3	09-14-2006	Cleared by OIPE CSR			0
2	09-10-2006	IFW Scan & PACR Auto Security Review			0
1	08-09-2006	Initial Exam Team nn			0
