Date	Transaction Description
06-01-2010	Recordation of Patent Grant Mailed
05-13-2010	Email Notification
05-12-2010	Issue Notification Mailed
06-01-2010	Patent Issue Date Used in PTA Calculation
04-19-2010	Dispatch to FDC
04-16-2010	Email Notification
04-14-2010	Application Is Considered Ready for Issue
04-16-2010	Mail Response to 312 Amendment (PTO-271)
04-08-2010	Issue Fee Payment Verified
04-12-2010	Response to Amendment under Rule 312
04-08-2010	Response to Reasons for Allowance
04-08-2010	Amendment after Notice of Allowance (Rule 312)
04-06-2010	Amendment after Notice of Allowance (Rule 312)
04-08-2010	Issue Fee Payment Received
01-15-2010	Electronic Review
01-15-2010	Email Notification
01-15-2010	Email Notification
01-15-2010	Mail Examiner's Amendment
01-15-2010	Mail Notice of Allowance
01-13-2010	Document Verification
01-13-2010	Notice of Allowance Data Verification Completed
01-13-2010	Case Docketed to Examiner in GAU
01-12-2010	Examiner's Amendment Communication
11-12-2009	Date Forwarded to Examiner
11-12-2009	Date Forwarded to Examiner
11-12-2009	Request for Continued Examination (RCE)
11-12-2009	Disposal for a RCE / CPA / R129
11-12-2009	Request for Extension of Time - Granted
11-12-2009	Workflow - Request for RCE - Begin
06-16-2009	Electronic Review
06-16-2009	Email Notification
06-16-2009	Mail Supplemental Final Rejection
06-12-2009	Supplemental Final Rejection
06-03-2009	Electronic Review
06-03-2009	Email Notification
06-03-2009	Mail Final Rejection (PTOL - 326)
06-01-2009	Final Rejection
05-27-2009	Date Forwarded to Examiner
04-10-2009	Response after Non-Final Action
03-03-2009	Case Docketed to Examiner in GAU
01-13-2009	Electronic Review
01-13-2009	Email Notification
01-13-2009	Mail Non-Final Rejection
01-07-2009	Non-Final Rejection
06-19-2007	Information Disclosure Statement considered
01-12-2007	Information Disclosure Statement considered
11-15-2006	Information Disclosure Statement considered
12-23-2008	Date Forwarded to Examiner
12-19-2008	Response to Election / Restriction Filed
12-19-2008	Request for Extension of Time - Granted
10-29-2008	Electronic Review
10-29-2008	Email Notification
10-29-2008	Mail Restriction Requirement
10-25-2008	Restriction/Election Requirement
10-07-2008	Case Docketed to Examiner in GAU
08-08-2008	Case Docketed to Examiner in GAU
02-07-2008	Case Docketed to Examiner in GAU
01-25-2008	Case Docketed to Examiner in GAU
06-19-2007	Reference capture on IDS
06-19-2007	Information Disclosure Statement (IDS) Filed
06-19-2007	Information Disclosure Statement (IDS) Filed
03-13-2007	PG-Pub Issue Notification
01-12-2007	Reference capture on IDS
01-12-2007	Information Disclosure Statement (IDS) Filed
01-12-2007	Information Disclosure Statement (IDS) Filed
12-21-2006	IFW TSS Processing by Tech Center Complete
11-15-2006	Information Disclosure Statement (IDS) Filed
11-15-2006	Information Disclosure Statement (IDS) Filed
11-15-2006	Request for Foreign Priority (Priority Papers May Be Included)
12-13-2006	Transfer Inquiry to GAU
11-28-2006	Application Dispatched from OIPE
11-28-2006	Application Is Now Complete
11-15-2006	Additional Application Filing Fees
11-15-2006	A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic
09-20-2006	Notice Mailed--Application Incomplete--Filing Date Assigned
09-14-2006	Cleared by OIPE CSR
09-10-2006	IFW Scan & PACR Auto Security Review
08-09-2006	Initial Exam Team nn
