Date	Transaction Description
10-26-2010	Correspondence Address Change
08-11-2009	Recordation of Patent Grant Mailed
07-16-2009	Email Notification
07-15-2009	Issue Notification Mailed
08-04-2009	Patent Issue Date Used in PTA Calculation
07-02-2009	Dispatch to FDC
07-02-2009	Application Is Considered Ready for Issue
06-26-2009	Issue Fee Payment Verified
06-26-2009	Issue Fee Payment Received
06-05-2009	Electronic Review
06-05-2009	Email Notification
06-05-2009	Email Notification
06-05-2009	Email Notification
06-05-2009	Mail Examiner's Amendment
06-05-2009	Mail Examiner's Amendment
06-05-2009	Mail Notice of Allowance
06-02-2009	Notice of Allowance Data Verification Completed
05-27-2009	Examiner's Amendment Communication
05-27-2009	Examiner's Amendment Communication
05-19-2009	Date Forwarded to Examiner
04-30-2009	Response after Non-Final Action
04-30-2009	Request for Extension of Time - Granted
01-09-2009	Mail Non-Final Rejection
01-06-2009	Non-Final Rejection
09-06-2005	Information Disclosure Statement considered
09-01-2008	Case Docketed to Examiner in GAU
04-04-2006	Case Docketed to Examiner in GAU
03-22-2006	Case Docketed to Examiner in GAU
02-22-2006	IFW TSS Processing by Tech Center Complete
09-06-2005	Request for Foreign Priority (Priority Papers May Be Included)
09-06-2005	Information Disclosure Statement (IDS) Filed
09-06-2005	Information Disclosure Statement (IDS) Filed
09-06-2005	Preliminary Amendment
02-22-2006	Case Docketed to Examiner in GAU
12-05-2005	Application Dispatched from OIPE
12-05-2005	Application Is Now Complete
11-25-2005	Payment of additional filing fee/Preexam
11-25-2005	A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic
09-27-2005	Notice Mailed--Application Incomplete--Filing Date Assigned
09-22-2005	Cleared by OIPE CSR
09-12-2005	IFW Scan & PACR Auto Security Review
09-06-2005	Initial Exam Team nn
