Application Number	11/220,373
Filing or 371 (c) Date	09-06-2005
Application Type	Utility
Examiner Name	COUSO, JOSE L
Group Art Unit	2624
Confirmation Number	1615
Attorney Docket Number	88552.0006
Class / Subclass	382/232
First Named Inventor	Nobuhiro Karito , Nagano-ken, (JP)
Customer Number	-
Status	Patented Case
Status Date	07-15-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2006-0082830 A1
Earliest Publication Date	04-20-2006
Patent Number	7,570,820
Issue Date of Patent	08-04-2009
Title of Invention	IMAGE PROCESSING APPARATUS, IMAGE PROCESSING METHOD, IMAGE PROCESSING PROGRAM AND RECORDING MEDIUM FOR RECORDING PROGRAM
