Date	Transaction Description
02-03-2010	Email Notification
02-03-2010	Mail Abandonment for Failure to Respond to Office Action
01-31-2010	Aband. for Failure to Respond to O. A.
07-24-2009	Electronic Review
07-22-2009	Email Notification
07-22-2009	Mail Final Rejection (PTOL - 326)
07-20-2009	Final Rejection
05-27-2009	Change in Power of Attorney (May Include Associate POA)
05-16-2009	Correspondence Address Change
05-16-2009	Date Forwarded to Examiner
04-23-2009	Response after Non-Final Action
01-23-2009	Mail Non-Final Rejection
01-21-2009	Non-Final Rejection
01-23-2006	Information Disclosure Statement considered
01-12-2009	Date Forwarded to Examiner
11-07-2008	Response to Election / Restriction Filed
11-07-2008	Request for Extension of Time - Granted
11-07-2008	Request for Extension of Time - Granted
06-20-2008	Mail Restriction Requirement
05-28-2008	Restriction/Election Requirement
10-17-2007	Withdraw Flagged for 5/25
10-15-2007	Flagged for 5/25
07-06-2007	IFW TSS Processing by Tech Center Complete
07-06-2007	Case Docketed to Examiner in GAU
01-23-2006	Reference capture on IDS
01-23-2006	Information Disclosure Statement (IDS) Filed
01-23-2006	Preliminary Amendment
07-05-2007	Transfer Inquiry to GAU
01-23-2006	Information Disclosure Statement (IDS) Filed
01-23-2006	371 Completion Date
07-18-2006	Application Dispatched from OIPE
07-18-2006	Notice of DO/EO Acceptance Mailed
02-07-2006	Cleared by OIPE CSR
01-23-2006	Initial Exam Team nn
