Application Number	10/565,611
Filing or 371 (c) Date	01-23-2006
Application Type	Utility
Examiner Name	COLAN, GIOVANNA B
Group Art Unit	2162
Confirmation Number	2552
Attorney Docket Number	236551-000001
Class / Subclass	707/101
First Named Inventor	James A. Graf , New York, NY (US)
Customer Number	-
Status	Abandoned -- Failure to Respond to an Office Action
Status Date	01-31-2010
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2006-0242180 A1
Earliest Publication Date	10-26-2006
Patent Number	-
Issue Date of Patent	-
Title of Invention	Extracting data from semi-structured text documents
